TalentKey,ActorID,FirstName,LastName,nationality,gender,birth_year,death_year,is_active,known_for_dept,popularity_score,awards_count,active_since_year
1746,4000025,Amanda,Garcia,US,female,1970,,1,Acting,3.67,0,2001
1747,4000026,Amanda,Lee,US,female,1963,,1,Acting,1.18,0,1985
1748,4000027,Samuel,Hernandez,US,male,1973,,1,Acting,4.66,0,2001
1749,4000028,Luna,Silva,AR,female,1939,,1,Acting,1.93,0,1969
1750,4000029,Emma,Carvalho,AT,female,1992,,1,Acting,2.55,0,2012
1751,4000030,Melissa,Garcia,US,female,1959,,1,Acting,1.93,0,1989
1752,4000031,Alejandro,Díaz,ES,male,1989,,1,Acting,17.59,0,2013
1753,4000032,Dorothy,Lopez,US,female,1976,,1,Acting,3.28,0,1998
1754,4000033,Linda,Davis,US,female,1962,2020.0,0,Acting,1.28,0,1985
1755,4000034,Naoki,Watanabe,JP,male,1921,,0,Acting,6.96,1,1940
1756,4000035,Emma,Carvalho,BR,female,1964,,1,Acting,1.11,0,1987
1757,4000036,Adam,Martin,US,male,1983,,1,Acting,4.01,0,2007
1758,4000037,Jessica,Brown,US,female,1953,,1,Acting,0.57,0,1976
1759,4000038,Michael,Johnson,US,male,1970,,1,Acting,1.0,0,1995
1760,4000039,Thomas,Miller,US,male,1958,,1,Acting,3.96,0,1987
1761,4000040,Christopher,Thomas,US,male,1962,,1,Acting,6.45,0,1981
1762,4000041,Oliver,Johnson,GB,male,2001,,1,Acting,3.87,0,2020
1763,4000042,Riley,Pereira,MX,male,1978,,1,Acting,2.99,0,1997
1764,4000043,Kevin,Johnson,US,male,1948,,1,Acting,2.53,0,1980
1765,4000044,Nancy,Anderson,US,female,2002,,1,Acting,0.88,0,2018
1766,4000045,Isla,Brown,GB,female,1964,,1,Acting,1.74,0,1990
1767,4000046,Andrew,Johnson,US,male,1947,,0,Acting,2.19,0,1967
1768,4000047,Alex,Carvalho,AU,male,1950,2002.0,0,Acting,8.6,0,1972
1769,4000048,Sung-min,Lee,KR,male,1996,,1,Acting,4.52,0,2021
1770,4000049,Samuel,Williams,US,male,1974,,1,Acting,0.68,0,1999
1771,4000050,Karen,Miller,US,female,1985,,1,Acting,4.44,0,2015
1772,4000051,Cameron,Souza,AT,male,1949,,0,Acting,2.35,0,1974
1773,4000052,Oliver,Wilson,GB,male,1984,,1,Acting,1.81,0,2009
1774,4000053,Robert,Jackson,US,male,1959,,1,Acting,5.76,0,1984
1775,4000054,Jennifer,Davis,US,female,1968,,1,Acting,8.4,0,1992
1776,4000055,Na-eun,Jung,KR,female,1990,,1,Acting,7.68,0,2008
1777,4000056,Stefano,Bianchi,IT,male,2000,,1,Acting,1.56,0,2020
1778,4000057,Philippe,Bernard,FR,male,1995,,1,Acting,2.51,0,2023
1779,4000058,Jae-won,Jung,KR,male,1986,,1,Acting,4.47,0,2005
1780,4000059,Christopher,Moore,US,male,1981,,1,Acting,7.99,0,2000
1781,4000060,Quinn,Ferreira,CA,male,1937,,0,Acting,2.16,0,1965
1782,4000061,Isla,Lewis,GB,female,1972,,1,Acting,2.81,0,1996
1783,4000062,Michael,Williams,US,male,1994,,1,Acting,1.23,0,2021
1784,4000063,Joshua,Martin,US,male,1982,,1,Acting,1.13,0,2006
1785,4000064,John,Martinez,US,male,1968,,1,Acting,6.9,0,1990
1786,4000065,Jessica,Davis,US,female,1992,,1,Acting,11.25,0,2015
1787,4000066,Lily,Pereira,IN,female,1999,,1,Acting,3.11,0,2018
1788,4000067,David,Romero,ES,male,1973,,1,Acting,8.19,0,1992
1789,4000068,Riko,Inoue,JP,female,1969,,1,Acting,4.6,0,1993
1790,4000069,Sakura,Yamaguchi,JP,female,1991,,1,Acting,1.86,0,2016
1791,4000070,Blake,Silva,NO,male,1963,,1,Acting,4.6,0,1987
1792,4000071,Riley,Santos,RU,male,1988,,1,Acting,13.25,0,2016
1793,4000072,Alice,De Luca,IT,female,1947,,0,Acting,3.21,0,1964
1794,4000073,Sofia,Costa,AR,female,1994,,1,Acting,13.57,0,2019
1795,4000074,Logan,Ferreira,AU,male,1943,,0,Acting,0.5,2,1969
1796,4000075,Charlotte,Roberts,GB,female,1992,,1,Acting,6.96,0,2020
1797,4000076,Lily,Silva,RU,female,1968,,1,Acting,3.59,0,1986
1798,4000077,Brandon,Jackson,US,male,1992,,1,Acting,2.54,0,2013
1799,4000078,Sandra,Williams,US,female,2006,,1,Acting,3.61,0,2022
1800,4000079,Alice,Robinson,GB,female,1953,,0,Acting,0.55,0,1974
1801,4000080,Miku,Sasaki,JP,female,1972,,1,Acting,2.72,0,1992
1802,4000081,Jacob,Johnson,GB,male,1986,,1,Acting,4.58,0,2021
1803,4000082,Martina,Marino,IT,female,1995,,1,Acting,12.55,0,2019
1804,4000083,Jessica,Anderson,US,female,1999,,1,Acting,2.08,0,2019
1805,4000084,Ashley,Thomas,US,female,1973,,1,Acting,1.6,0,1993
1806,4000085,Susan,Williams,US,female,1974,,1,Acting,2.11,0,1999
1807,4000086,Giulia,De Luca,IT,female,2004,,1,Acting,7.57,0,2021
1808,4000087,Aria,Silva,BR,female,1945,,0,Acting,4.46,0,1970
1809,4000088,Eric,Anderson,US,male,1998,,1,Acting,2.06,0,2018
1810,4000089,Chloé,Petit,FR,female,1954,,0,Acting,5.27,0,1980
1811,4000090,Brian,Davis,US,male,1965,,1,Acting,3.62,0,1988
1812,4000091,Michael,Thomas,US,male,1955,,0,Acting,7.94,0,1977
1813,4000092,Ashley,Lee,US,female,1987,,1,Acting,1.77,0,2018
1814,4000093,Melissa,Thomas,US,female,1998,,1,Acting,2.47,2,2022
1815,4000094,Ha-eun,Choi,KR,female,1997,,1,Acting,2.33,0,2019
1816,4000095,Ai,Watanabe,JP,female,1967,,1,Acting,0.89,0,1991
1817,4000096,Sarah,Rodriguez,US,female,1978,,1,Acting,4.33,0,1998
1818,4000097,Morgan,Pereira,CN,male,1956,,1,Acting,4.2,0,1982
1819,4000098,Quinn,Souza,AT,male,1972,,1,Acting,3.34,0,1997
1820,4000099,Patricia,Miller,US,female,1993,,1,Acting,2.69,0,2021
1821,4000100,Adam,Wilson,US,male,1984,,1,Acting,0.93,0,2005
1822,4000101,Dorothy,Anderson,US,female,1980,,1,Acting,2.27,0,2008
1823,4000102,Laurent,Thomas,FR,male,1977,,1,Acting,2.44,0,1997
1824,4000103,Kevin,Hernandez,US,male,1989,,1,Acting,1.61,0,2016
1825,4000104,Blake,Pereira,NO,male,2004,,1,Acting,2.87,0,2020
1826,4000105,Lily,Alves,BE,female,1985,,1,Acting,4.78,0,2011
1827,4000106,Ana,Álvarez,ES,female,1969,,1,Acting,18.13,0,2000
1828,4000107,Emma,Richard,FR,female,1955,,0,Acting,3.88,0,1985
1829,4000108,Sandra,Rodriguez,US,female,2000,,1,Acting,4.19,0,2022
1830,4000109,Aaron,Johnson,US,male,1997,,1,Acting,3.1,0,2022
1831,4000110,Jordan,Santos,CN,male,1980,,1,Acting,0.59,0,2013
1832,4000111,James,Lee,US,male,1964,,1,Acting,3.24,0,1982
1833,4000112,Young-jae,Choi,KR,male,1977,,1,Acting,3.51,0,2004
1834,4000113,Mia,Alves,BE,female,1978,,1,Acting,30.48,0,2001
1835,4000114,Daniel,Brown,US,male,1988,,1,Acting,2.79,1,2004
1836,4000115,Dorothy,Miller,US,female,1946,,0,Acting,4.36,0,1973
1837,4000116,Adam,Johnson,US,male,1975,,1,Acting,3.22,0,1996
1838,4000117,Emma,Carvalho,MX,female,1979,,1,Acting,1.16,0,2000
1839,4000118,Emily,Brown,US,female,1966,,1,Acting,9.29,0,1995
1840,4000119,Mia,Souza,CN,female,1968,,1,Acting,6.53,0,1988
1841,4000120,Lily,Carvalho,BE,female,2001,,1,Acting,6.77,1,2017
1842,4000121,Rebecca,Rodriguez,US,female,1971,,1,Acting,1.46,0,1993
1843,4000122,Christopher,Thomas,US,male,1962,,1,Acting,11.73,0,1987
1844,4000123,Lucie,Martin,FR,female,1979,,1,Acting,0.94,0,2005
1845,4000124,Tyler,Miller,US,male,1967,,1,Acting,5.63,0,1994
1846,4000125,Karen,Lee,US,female,1990,,1,Acting,23.84,0,2014
1847,4000126,Parker,Silva,PL,male,1952,,0,Acting,1.36,0,1976
1848,4000127,Layla,Lima,IN,female,1976,,1,Acting,1.99,0,2011
1849,4000128,Yoo-jin,Cho,KR,female,1980,,1,Acting,3.63,0,2014
1850,4000129,Yui,Kato,JP,female,1983,,1,Acting,2.11,0,2006
1851,4000130,Ella,Lewis,GB,female,1985,,1,Acting,0.82,0,2004
1852,4000131,Sarah,Brown,US,female,1986,,1,Acting,3.53,0,2015
1853,4000132,Aaron,Garcia,US,male,1962,,1,Acting,1.28,0,1987
1854,4000133,Emma,Silva,AR,female,1976,,1,Acting,5.08,0,1995
1855,4000134,Cameron,Santos,AU,male,1985,,1,Acting,1.45,0,2012
1856,4000135,Sofia,Santos,DE,female,1979,,1,Acting,13.4,0,2002
1857,4000136,Emma,Santos,AR,female,1991,,1,Acting,1.64,1,2007
1858,4000137,Layla,Oliveira,MX,female,1957,,1,Acting,2.48,0,1980
1859,4000138,Linda,Williams,US,female,1967,,1,Acting,6.9,0,1991
1860,4000139,Morgan,Pereira,BE,male,1992,,1,Acting,1.1,0,2014
1861,4000140,Thomas,Brown,US,male,1982,,1,Acting,4.07,0,2006
1862,4000141,Brandon,Wilson,US,male,1978,,1,Acting,10.77,0,2007
1863,4000142,Rebecca,Anderson,US,female,1974,,1,Acting,0.78,1,1999
1864,4000143,Naoki,Sasaki,JP,male,1949,,1,Acting,3.92,0,1973
1865,4000144,Morgan,Silva,RU,male,1963,,1,Acting,4.2,0,1981
1866,4000145,Ashley,Lee,US,female,1973,,1,Acting,6.71,0,2000
1867,4000146,Daniel,Martinez,US,male,1988,,1,Acting,1.09,0,2017
1868,4000147,Thomas,Rodriguez,US,male,1991,,1,Acting,1.01,0,2019
1869,4000148,Brian,Brown,US,male,1971,,1,Acting,5.31,0,2002
1870,4000149,Barbara,Williams,US,female,1936,,0,Acting,4.34,0,1964
1871,4000150,Layla,Costa,CN,female,1988,,1,Acting,4.16,0,2004
1872,4000151,Karen,Moore,US,female,1984,,1,Acting,4.53,0,2007
1873,4000152,Samuel,Johnson,US,male,2003,,1,Acting,1.8,0,2020
1874,4000153,Mary,Williams,US,female,1971,,1,Acting,4.09,0,1989
1875,4000154,Christopher,Martin,US,male,1939,,0,Acting,4.32,0,1962
1876,4000155,Min-ji,Lim,KR,female,1976,,1,Acting,1.75,0,1997
1877,4000156,Tyler,Lopez,US,male,1974,,1,Acting,17.8,0,1995
1878,4000157,William,Hernandez,US,male,1981,,1,Acting,5.09,0,1997
1879,4000158,Dorothy,Jackson,US,female,1928,,0,Acting,1.14,0,1961
1880,4000159,Amanda,Smith,US,female,1992,,1,Acting,5.99,0,2018
1881,4000160,Penelope,Santos,RU,female,1957,,1,Acting,1.38,0,1985
1882,4000161,Chloé,Lefebvre,FR,female,1943,,0,Acting,6.74,0,1964
1883,4000162,Emily,Brown,US,female,1924,,0,Acting,9.42,0,1959
1884,4000163,Melissa,Smith,US,female,1969,,1,Acting,1.59,0,2001
1885,4000164,Michael,Thomas,US,male,1993,,1,Acting,7.9,0,2021
1886,4000165,Luna,Carvalho,AT,female,1977,,1,Acting,4.81,0,2016
1887,4000166,Emily,Davis,US,female,1986,,1,Acting,6.96,0,2002
1888,4000167,Jessica,Lee,US,female,1979,,1,Acting,18.3,0,2002
1889,4000168,Christopher,Anderson,US,male,1978,,1,Acting,2.66,0,1998
1890,4000169,Mary,Martinez,US,female,1994,,1,Acting,1.68,0,2019
1891,4000170,Min-ji,Yoon,KR,female,1982,,1,Acting,1.49,0,2005
1892,4000171,Saki,Yamaguchi,JP,female,1976,,1,Acting,1.59,0,2007
1893,4000172,Jessica,Davis,US,female,1981,,1,Acting,3.1,0,2003
1894,4000173,Patricia,Hernandez,US,female,1988,,1,Acting,4.51,0,2016
1895,4000174,Mia,Lima,SE,female,2004,,1,Acting,4.26,0,2021
1896,4000175,Linda,Thomas,US,female,1956,2010.0,0,Acting,6.99,0,1977
1897,4000176,Barbara,Williams,US,female,1983,,1,Acting,3.36,0,2004
1898,4000177,Stephanie,Wilson,US,female,1989,,1,Acting,12.28,0,2005
1899,4000178,Chloe,Lima,NL,female,1993,,1,Acting,2.62,0,2015
1900,4000179,Riley,Ferreira,IN,male,1995,,1,Acting,38.4,0,2020
1901,4000180,Linda,Brown,US,female,1968,,1,Acting,5.83,0,1994
1902,4000181,Alex,Oliveira,DE,male,1980,,1,Acting,1.54,0,2014
1903,4000182,Chloe,Souza,BE,female,1957,,1,Acting,1.27,0,1978
1904,4000183,William,Garcia,US,male,1960,,1,Acting,5.13,0,1976
1905,4000184,Tyler,Martin,US,male,1961,,1,Acting,2.72,0,1977
1906,4000185,Rin,Yamada,JP,female,1924,,0,Acting,6.31,0,1947
1907,4000186,Takeshi,Kobayashi,JP,male,1999,,1,Acting,5.08,0,2022
1908,4000187,Karen,Thomas,US,female,1989,,1,Acting,3.11,0,2018
1909,4000188,Emily,Brown,US,female,1960,,1,Acting,1.55,0,1989
1910,4000189,Freya,Taylor,GB,female,1940,,0,Acting,0.85,0,1956
1911,4000190,Samuel,Taylor,US,male,1995,,1,Acting,2.22,0,2019
1912,4000191,Samuel,Lopez,US,male,1959,,1,Acting,7.18,0,1983
1913,4000192,Taro,Suzuki,JP,male,1992,,1,Acting,4.03,0,2015
1914,4000193,Layla,Santos,AR,female,1981,,1,Acting,1.08,0,2002
1915,4000194,Daniel,Hernandez,US,male,1986,,1,Acting,3.88,0,2012
1916,4000195,Kenji,Yamaguchi,JP,male,1977,,1,Acting,4.7,0,2005
1917,4000196,Susan,Rodriguez,US,female,2000,,1,Acting,1.5,0,2022
1918,4000197,Lisa,Brown,US,female,1972,,1,Acting,3.81,0,2001
1919,4000198,Thomas,Wilson,US,male,1997,,1,Acting,3.5,0,2022
1920,4000199,Kevin,Smith,US,male,1953,,0,Acting,1.19,0,1981
1921,4000200,Poppy,Evans,GB,female,1999,,1,Acting,4.58,0,2015
1922,4000201,Riley,Lima,AR,male,1931,,0,Acting,5.5,2,1958
1923,4000202,Blake,Ferreira,BE,male,1980,,1,Acting,8.8,0,2001
1924,4000203,John,Johnson,US,male,1966,,1,Acting,8.57,0,1997
1925,4000204,Jordan,Silva,RU,male,1988,,1,Acting,0.96,0,2017
1926,4000205,Ashley,Lopez,US,female,1988,,1,Acting,1.43,0,2018
1927,4000206,Rebecca,Jones,US,female,1989,,1,Acting,5.28,0,2016
1928,4000207,Chiara,Colombo,IT,female,1992,,1,Acting,5.27,0,2022
1929,4000208,Kenta,Yamamoto,JP,male,1967,,1,Acting,5.28,0,1987
1930,4000209,Joshua,Brown,US,male,1998,,1,Acting,65.0,0,2022
1931,4000210,Patricia,Wilson,US,female,1964,,1,Acting,5.55,0,1991
1932,4000211,Jennifer,Miller,US,female,1985,,1,Acting,9.23,1,2009
1933,4000212,John,Hernandez,US,male,1950,,1,Acting,7.84,0,1982
1934,4000213,Logan,Silva,AU,male,1993,,1,Acting,5.97,0,2013
1935,4000214,Riko,Tanaka,JP,female,2002,,1,Acting,2.5,1,2019
1936,4000215,Cameron,Pereira,DE,male,1999,,1,Acting,6.57,0,2022
1937,4000216,Michael,Smith,US,male,1951,,1,Acting,1.66,0,1975
1938,4000217,Mary,Garcia,US,female,1959,,1,Acting,2.68,0,1982
1939,4000218,Jordan,Lima,AR,male,1967,,1,Acting,2.15,0,1995
1940,4000219,Blake,Carvalho,AU,male,1972,,1,Acting,3.57,0,1989
1941,4000220,Xavier,Robert,FR,male,1984,,1,Acting,26.66,0,2000
1942,4000221,Tyler,Wilson,US,male,1969,,1,Acting,0.62,0,1991
1943,4000222,Ashley,Williams,US,female,1992,,1,Acting,6.16,0,2020
1944,4000223,Robert,Jones,US,male,1966,,1,Acting,0.78,0,1999
1945,4000224,Hye-rin,Lim,KR,female,1985,,1,Acting,2.17,0,2007
1946,4000225,Linda,Brown,US,female,1999,,1,Acting,8.85,0,2023
1947,4000226,Jacob,Wilson,GB,male,1997,,1,Acting,3.52,0,2021
1948,4000227,Ashley,Wilson,US,female,1968,,1,Acting,1.26,0,1991
1949,4000228,Sandra,Hernandez,US,female,1992,,1,Acting,1.74,0,2015
1950,4000229,Taro,Inoue,JP,male,1971,,1,Acting,6.12,0,2001
1951,4000230,Robert,Anderson,US,male,1945,,0,Acting,1.72,0,1975
1952,4000231,Linda,Anderson,US,female,1971,,1,Acting,4.03,0,1996
1953,4000232,Cameron,Alves,CN,male,1975,,1,Acting,3.46,0,1991
1954,4000233,Harry,Johnson,GB,male,1979,,1,Acting,1.85,0,2001
1955,4000234,Melissa,Lopez,US,female,1946,,0,Acting,22.86,0,1974
1956,4000235,Samuel,Rodriguez,US,male,1927,,0,Acting,5.87,0,1954
1957,4000236,Betty,Smith,US,female,1958,,1,Acting,0.54,0,1982
1958,4000237,Jennifer,Jones,US,female,1993,,1,Acting,3.93,0,2010
1959,4000238,Brandon,Miller,US,male,1969,,1,Acting,1.83,0,1997
1960,4000239,Ana,Pérez,ES,female,1973,,1,Acting,7.15,0,1995
1961,4000240,John,Jones,US,male,1963,2014.0,0,Acting,1.63,0,1989
1962,4000241,Ashley,Anderson,US,female,1991,,1,Acting,2.99,1,2007
1963,4000242,Luna,Silva,AR,female,1994,,1,Acting,5.23,0,2011
1964,4000243,Sandra,Brown,US,female,1983,,1,Acting,7.24,0,1999
1965,4000244,Grace,Johnson,GB,female,1963,,1,Acting,1.13,0,1993
1966,4000245,James,Miller,US,male,1968,,1,Acting,2.46,0,1993
1967,4000246,Cameron,Ferreira,BE,male,1962,,1,Acting,2.17,0,1990
1968,4000247,Mia,Pereira,AR,female,1971,,1,Acting,1.84,0,1993
1969,4000248,Jennifer,Wilson,US,female,1981,,1,Acting,16.26,0,2015
1970,4000249,Mary,Thomas,US,female,1996,,1,Acting,4.78,0,2020
1971,4000250,Lily,Souza,NL,female,1999,,1,Acting,1.07,0,2016
1972,4000251,Linda,Wilson,US,female,1931,,0,Acting,7.58,0,1955
1973,4000252,Betty,Williams,US,female,1957,,1,Acting,22.42,0,1991
1974,4000253,Nora,Costa,MX,female,1969,,1,Acting,8.41,0,1994
1975,4000254,Emily,Davies,GB,female,1993,,1,Acting,0.85,0,2011
1976,4000255,Parker,Carvalho,AU,male,1969,,1,Acting,2.15,0,1985
1977,4000256,Mei,Matsumoto,JP,female,1980,,1,Acting,10.38,0,2002
1978,4000257,George,Williams,GB,male,1962,,1,Acting,1.76,0,1982
1979,4000258,William,Taylor,US,male,1979,,1,Acting,4.95,0,2009
1980,4000259,Rebecca,Lee,US,female,1976,,1,Acting,6.67,1,1995
