CustomerKey,IsChurned,IsActive,Gender,Age,AgeGroup,Birth,MonthsAsCustomer,TenureYears,LifetimeValue,AvgSessionMinutes,ChurnRiskScore,PaymentReliability,CustomerSegment,CityName,StateName,CountryName,ISOCode,Continent,Latitude,Longitude,Timezone,PreferredLanguage,LanguageISO,PreferredGenre,PreferredGenreGroup,DeviceType,RegistrationSource,NumPaymentMethods,ActivePaymentMethods,PrimaryCardNetwork,HasCreditCard,HasDebitCard,CreateDate
1537,0,1,female,21,Gen_Z,2004-07-01,39,3.2,595.72,125.5,0.358,0.845,Silver,Madison,Missouri,United States,US,North America,39.4713,-97.0983,America/New_York,English,en,Biographical,Arts & Culture,desktop,partner,1,1,Visa,1,0,2023-02-15
1538,0,1,male,22,Gen_Z,2003-09-01,21,1.8,352.63,69.0,0.359,0.736,Bronze,Salem,South Carolina,United States,US,North America,37.4042,-97.6925,America/New_York,French,fr,Crime,Narrative,desktop,mobile_app,1,1,Visa,1,0,2024-08-29
1539,0,1,female,26,Millennial,2000-03-31,96,8.0,897.05,143.7,0.293,0.787,Silver,Springfield,New Jersey,United States,US,North America,39.5696,-98.5892,America/New_York,English,en,Psychological,Horror & Suspense,desktop,web,1,1,JCB,1,0,2018-05-13
1540,0,1,female,33,Millennial,1993-04-10,165,13.8,2519.22,56.6,0.183,0.868,Silver,Madison,Tennessee,United States,US,North America,39.5734,-99.9401,America/New_York,Portuguese,pt,Foreign Language,Arts & Culture,smart_tv,smart_tv,1,1,Mastercard,1,0,2012-08-18
1541,0,1,male,37,Gen_X,1988-06-24,116,9.7,1511.39,88.2,0.237,0.897,Silver,Clinton,Tennessee,United States,US,North America,39.3243,-98.0643,America/New_York,French,fr,Adventure,Action & Spectacle,desktop,web,1,1,Mastercard,1,0,2016-09-28
1542,0,1,female,27,Millennial,1998-12-25,108,9.0,1389.96,44.8,0.282,0.94,Silver,Franklin,Arizona,United States,US,North America,40.6823,-98.7646,America/New_York,English,en,Biographical,Arts & Culture,smart_tv,smart_tv,1,1,PayPal,0,0,2017-05-19
1543,0,1,male,19,Gen_Z,2007-03-17,5,0.4,160.33,123.2,0.409,0.915,Silver,Salem,Minnesota,United States,US,North America,38.8532,-98.7514,America/New_York,English,en,Short Film,Arts & Culture,desktop,mobile_app,1,1,Visa,1,0,2025-12-03
1544,0,1,male,28,Millennial,1997-07-29,26,2.2,381.02,60.8,0.377,0.803,Bronze,Miami,Florida,United States,US,North America,28.7267,-81.4973,America/New_York,English,en,Romance,Light & Feel-Good,mobile,smart_tv,1,1,Visa,1,0,2024-03-14
1545,0,1,male,41,Gen_X,1985-01-20,168,14.0,2976.9,119.7,0.18,0.784,Silver,Joliet,Illinois,United States,US,North America,39.9257,-88.5755,America/New_York,English,en,Thriller,Horror & Suspense,mobile,web,1,1,Mastercard,1,0,2012-05-18
1546,0,1,male,39,Gen_X,1987-03-03,190,15.8,1792.34,115.3,0.177,0.891,Gold,Yonkers,New York,United States,US,North America,42.2434,-74.1732,America/New_York,English,en,Sci-Fi & Fantasy,Action & Spectacle,smart_tv,web,2,1,Mastercard,1,0,2010-07-04
1547,0,1,female,24,Gen_Z,2001-12-20,77,6.4,1059.49,72.1,0.262,0.861,Silver,Springfield,Missouri,United States,US,North America,38.9384,-98.6121,America/New_York,English,en,Crime,Narrative,smart_tv,mobile_app,2,2,American Express,1,0,2019-12-24
1548,0,1,female,43,Gen_X,1982-11-29,179,14.9,2434.99,121.1,0.175,0.747,Silver,Clinton,Tennessee,United States,US,North America,39.1863,-99.5208,America/New_York,English,en,Short Film,Arts & Culture,smart_tv,smart_tv,1,1,Visa,1,0,2011-06-17
1549,0,1,male,41,Gen_X,1985-05-11,169,14.1,2127.59,94.3,0.228,0.884,Silver,Springfield,Washington,United States,US,North America,39.7369,-98.1412,America/New_York,French,fr,War,Action & Spectacle,smart_tv,mobile_app,2,2,Mastercard,1,0,2012-04-05
1550,0,1,female,36,Gen_X,1989-08-17,139,11.6,2336.62,101.8,0.239,0.771,Silver,Salem,Arizona,United States,US,North America,39.5041,-98.5377,America/New_York,English,en,Superhero,Action & Spectacle,desktop,mobile_app,2,2,PayPal,1,0,2014-10-29
1551,1,0,male,24,Gen_Z,2002-01-27,67,5.6,1214.5,99.0,0.742,0.935,Bronze,Cincinnati,Ohio,United States,US,North America,38.3677,-98.6865,America/New_York,English,en,Stand-Up Comedy,Light & Feel-Good,smart_tv,mobile_app,2,2,Mastercard,1,0,2020-10-02
1552,0,1,female,30,Millennial,1996-03-17,95,7.9,1621.53,67.1,0.326,0.862,Silver,Franklin,Alabama,United States,US,North America,39.2258,-98.9918,America/New_York,English,en,Romance,Light & Feel-Good,desktop,mobile_app,2,2,Visa,1,0,2018-06-19
1553,0,1,male,29,Millennial,1996-10-21,128,10.7,2052.02,180.0,0.193,0.776,Silver,Madison,Indiana,United States,US,North America,39.371,-98.0268,America/New_York,English,en,Fantasy,Family & Fantasy,tablet,smart_tv,1,1,Visa,1,0,2015-09-08
1554,0,1,female,43,Gen_X,1983-04-07,195,16.2,1818.94,41.2,0.222,0.866,Silver,Syracuse,New York,United States,US,North America,43.6746,-74.8084,America/New_York,Spanish,es,Cult Classic,Arts & Culture,smart_tv,web,1,1,Visa,1,0,2010-02-21
1555,0,1,female,29,Millennial,1996-07-24,141,11.8,1727.59,92.0,0.19,0.979,Gold,St. Petersburg,Florida,United States,US,North America,28.2004,-81.8199,America/New_York,French,fr,Crime,Narrative,mobile,web,1,1,PayPal,0,0,2014-08-16
1556,0,1,male,40,Gen_X,1985-10-29,1,0.1,163.29,45.6,0.315,0.957,Bronze,Yonkers,New York,United States,US,North America,40.6307,-74.9693,America/New_York,Portuguese,pt,Indie,Narrative,tablet,mobile_app,1,1,Visa,1,0,2026-05-30
1557,0,1,male,27,Millennial,1998-12-07,106,8.8,1868.04,98.0,0.266,0.909,Silver,Madison,North Carolina,United States,US,North America,39.5482,-96.3794,America/New_York,English,en,Anime,Family & Fantasy,mobile,web,2,2,JCB,1,0,2017-07-19
1558,0,1,female,33,Millennial,1992-07-15,111,9.2,1139.52,44.8,0.25,0.978,Silver,Springfield,Illinois,United States,US,North America,40.1956,-88.7449,America/New_York,English,en,Politics,Arts & Culture,mobile,web,1,1,Visa,1,0,2017-02-24
1559,0,1,other,32,Millennial,1993-09-08,46,3.8,631.16,39.9,0.359,0.902,Bronze,San Jose,California,United States,US,North America,36.7505,-120.3528,America/New_York,English,en,Cult Classic,Arts & Culture,smart_tv,web,2,2,Visa,1,0,2022-07-02
1560,0,1,female,44,Gen_X,1982-05-07,113,9.4,1581.26,35.9,0.263,0.811,Silver,Akron,Ohio,United States,US,North America,40.4143,-97.7485,America/New_York,English,en,Politics,Arts & Culture,smart_tv,smart_tv,3,3,Visa,1,0,2016-12-17
1561,0,1,male,38,Gen_X,1988-06-03,57,4.8,941.36,84.0,0.285,0.968,Silver,Columbus,Georgia,United States,US,North America,40.1328,-99.0775,America/New_York,English,en,Disaster,Action & Spectacle,smart_tv,mobile_app,2,2,PayPal,1,0,2021-08-03
1562,0,1,male,42,Gen_X,1984-03-19,149,12.4,1430.96,86.2,0.275,0.783,Silver,Franklin,South Carolina,United States,US,North America,40.6222,-99.4715,America/New_York,French,fr,Romance,Light & Feel-Good,mobile,web,2,2,Visa,1,0,2013-12-31
1563,0,1,male,42,Gen_X,1983-10-18,44,3.7,758.54,89.4,0.271,0.928,Silver,Springfield,Minnesota,United States,US,North America,39.9695,-96.5976,America/New_York,Portuguese,pt,Politics,Arts & Culture,desktop,web,1,1,Visa,1,0,2022-09-04
1564,0,1,female,33,Millennial,1992-07-25,187,15.6,2624.77,45.4,0.248,0.969,Gold,Georgetown,Alabama,United States,US,North America,38.7076,-98.803,America/New_York,French,fr,Documentary,Arts & Culture,smart_tv,smart_tv,1,1,Discover,1,0,2010-10-07
1565,0,1,male,18,Gen_Z,2008-04-25,1,0.1,120.4,55.3,0.389,0.841,Bronze,Dayton,Ohio,United States,US,North America,39.5797,-98.7528,America/New_York,English,en,War,Action & Spectacle,desktop,smart_tv,1,1,Mastercard,1,0,2026-04-29
1566,0,1,male,23,Gen_Z,2003-05-25,44,3.7,620.36,57.4,0.287,0.969,Silver,Franklin,Tennessee,United States,US,North America,38.2595,-98.2951,America/New_York,English,en,Disaster,Action & Spectacle,tablet,web,2,2,PayPal,1,0,2022-09-10
1567,0,1,female,39,Gen_X,1986-10-15,129,10.8,2081.53,180.0,0.217,0.998,Gold,Houston,Texas,United States,US,North America,31.1188,-99.5229,America/New_York,English,en,Drama,Narrative,smart_tv,web,1,1,Visa,1,0,2015-08-08
1568,0,1,male,46,Gen_X,1979-10-31,1,0.1,152.27,96.8,0.292,0.899,Bronze,Clinton,Alabama,United States,US,North America,38.7645,-97.1101,America/New_York,English,en,Biographical,Arts & Culture,smart_tv,mobile_app,1,1,JCB,1,0,2026-05-30
1569,0,1,male,34,Millennial,1991-09-11,87,7.2,1082.28,54.6,0.28,0.731,Bronze,Jacksonville,Florida,United States,US,North America,27.3678,-82.0179,America/New_York,English,en,Sports,Action & Spectacle,tablet,mobile_app,1,1,Visa,1,0,2019-02-08
1570,0,1,male,23,Gen_Z,2002-11-12,62,5.2,750.93,140.8,0.262,0.886,Silver,Georgetown,Maryland,United States,US,North America,40.1508,-99.3347,America/New_York,English,en,Thriller,Horror & Suspense,desktop,mobile_app,1,1,Debit Card,0,1,2021-03-26
1571,0,1,female,24,Gen_Z,2001-11-24,56,4.7,697.54,102.0,0.309,0.99,Silver,Franklin,Michigan,United States,US,North America,39.682,-97.3043,America/New_York,English,en,Stand-Up Comedy,Light & Feel-Good,mobile,smart_tv,1,1,Visa,1,0,2021-09-17
1572,0,1,male,36,Gen_X,1989-07-02,131,10.9,1913.31,140.2,0.139,0.969,Gold,Athens,Georgia,United States,US,North America,38.214,-98.2023,America/New_York,Spanish,es,Superhero,Action & Spectacle,smart_tv,mobile_app,1,1,PayPal,0,0,2015-06-08
1573,0,1,female,27,Millennial,1999-04-24,92,7.7,1457.09,59.9,0.325,0.936,Silver,Salem,Wisconsin,United States,US,North America,39.7079,-97.7245,America/New_York,English,en,Kids,Family & Fantasy,smart_tv,web,1,1,JCB,1,0,2018-09-17
1574,0,1,male,32,Millennial,1994-05-24,130,10.8,1836.26,43.8,0.239,0.901,Silver,Springfield,Arizona,United States,US,North America,38.5104,-99.4064,America/New_York,English,en,LGBTQ+,Narrative,desktop,mobile_app,2,2,Visa,1,0,2015-07-17
1575,0,1,other,18,Gen_Z,2007-12-11,4,0.3,122.9,133.5,0.347,0.998,Silver,Madison,Alabama,United States,US,North America,39.9176,-98.1124,America/New_York,French,fr,Comedy,Light & Feel-Good,mobile,web,2,2,Debit Card,1,1,2026-01-10
1576,0,1,female,30,Millennial,1995-08-01,101,8.4,975.55,54.1,0.294,0.947,Silver,Austin,Texas,United States,US,North America,32.169,-99.6246,America/New_York,English,en,Animation,Family & Fantasy,mobile,mobile_app,1,1,American Express,1,0,2017-12-30
1577,0,1,male,32,Millennial,1993-12-02,108,9.0,1899.9,60.9,0.28,0.838,Silver,Madison,Michigan,United States,US,North America,38.956,-98.1642,America/New_York,Spanish,es,Crime,Narrative,mobile,mobile_app,1,1,Discover,1,0,2017-05-15
1578,0,1,male,39,Gen_X,1986-06-11,137,11.4,2273.08,70.6,0.297,0.819,Silver,Franklin,New Jersey,United States,US,North America,39.7345,-98.9215,America/New_York,English,en,Drama,Narrative,desktop,mobile_app,1,1,Discover,1,0,2014-12-03
1579,0,1,female,18,Gen_Z,2007-07-15,8,0.7,169.83,90.8,0.384,0.775,Bronze,Clinton,Indiana,United States,US,North America,40.9926,-97.9709,America/New_York,English,en,LGBTQ+,Narrative,mobile,partner,3,3,Visa,1,0,2025-09-21
1580,1,0,male,36,Gen_X,1989-10-14,34,2.8,339.08,63.5,0.859,0.717,Bronze,Madison,North Carolina,United States,US,North America,38.547,-97.8248,America/New_York,English,en,Comedy,Light & Feel-Good,smart_tv,web,1,1,Visa,1,0,2023-07-17
1581,1,0,male,35,Millennial,1990-10-01,191,15.9,2949.31,50.4,0.957,0.757,Bronze,Clinton,Wisconsin,United States,US,North America,38.7203,-97.7203,America/New_York,Portuguese,pt,Romance,Light & Feel-Good,smart_tv,mobile_app,2,2,Mastercard,1,0,2010-06-04
1582,0,1,other,41,Gen_X,1984-11-30,195,16.2,3388.47,54.1,0.19,0.844,Silver,Springfield,Indiana,United States,US,North America,40.4269,-99.0065,America/New_York,English,en,Science Fiction,Action & Spectacle,mobile,smart_tv,1,1,Visa,1,0,2010-02-19
1583,0,1,female,42,Gen_X,1984-01-07,188,15.7,3525.0,102.4,0.2,0.956,Gold,El Paso,Texas,United States,US,North America,32.7393,-99.5716,America/New_York,Portuguese,pt,Adventure,Action & Spectacle,mobile,partner,1,1,Visa,1,0,2010-09-21
1584,0,1,female,35,Millennial,1990-06-18,84,7.0,738.33,86.6,0.271,0.817,Silver,Salem,Minnesota,United States,US,North America,40.1576,-96.8326,America/New_York,English,en,Action,Action & Spectacle,tablet,web,1,1,PayPal,0,0,2019-05-06
1585,0,1,female,25,Gen_Z,2000-12-16,46,3.8,765.29,29.8,0.278,0.984,Silver,Franklin,Minnesota,United States,US,North America,39.3037,-98.953,America/New_York,English,en,LGBTQ+,Narrative,smart_tv,smart_tv,1,1,PayPal,0,0,2022-07-31
1586,1,0,female,24,Gen_Z,2001-10-04,5,0.4,84.8,112.5,0.771,0.738,Bronze,Franklin,Indiana,United States,US,North America,38.7884,-99.0026,America/New_York,English,en,LGBTQ+,Narrative,smart_tv,web,1,1,Mastercard,1,0,2025-12-21
1587,0,1,female,30,Millennial,1996-02-04,76,6.3,1123.69,109.3,0.25,0.937,Silver,Madison,Missouri,United States,US,North America,39.4383,-98.0771,America/New_York,English,en,LGBTQ+,Narrative,tablet,smart_tv,1,1,Visa,1,0,2020-01-31
1588,0,1,female,34,Millennial,1991-08-31,36,3.0,462.3,120.0,0.311,0.889,Silver,Madison,Alabama,United States,US,North America,39.7214,-97.6883,America/New_York,Portuguese,pt,Documentary,Arts & Culture,desktop,web,1,1,Visa,1,0,2023-05-17
1589,0,1,female,40,Gen_X,1986-02-04,163,13.6,2674.28,58.0,0.189,0.939,Silver,San Diego,California,United States,US,North America,36.7887,-118.2551,America/New_York,English,en,Biographical,Arts & Culture,desktop,partner,1,1,Mastercard,1,0,2012-10-31
1590,0,1,male,26,Millennial,2000-04-17,1,0.1,86.36,69.7,0.381,0.906,Bronze,Salem,Wisconsin,United States,US,North America,39.2883,-96.1739,America/New_York,English,en,Comedy,Light & Feel-Good,mobile,mobile_app,1,1,PayPal,0,0,2026-05-30
1591,0,1,female,22,Gen_Z,2003-12-14,47,3.9,689.78,171.0,0.301,0.934,Silver,Madison,Minnesota,United States,US,North America,40.0005,-99.0357,America/New_York,English,en,Foreign Language,Arts & Culture,smart_tv,mobile_app,1,1,Visa,1,0,2022-06-29
1592,1,0,male,19,Gen_Z,2007-01-31,8,0.7,96.08,88.3,0.783,0.899,Bronze,Rochester,New York,United States,US,North America,41.309,-74.5621,America/New_York,French,fr,Crime,Narrative,tablet,smart_tv,1,1,Visa,1,0,2025-09-24
1593,0,1,male,39,Gen_X,1987-04-30,190,15.8,2725.33,48.7,0.232,0.759,Silver,Athens,Georgia,United States,US,North America,39.3212,-97.7788,America/New_York,English,en,Foreign Language,Arts & Culture,desktop,partner,3,3,Mastercard,1,1,2010-07-20
1594,0,1,male,18,Gen_Z,2008-01-14,1,0.1,82.85,147.9,0.32,0.845,Silver,Los Angeles,California,United States,US,North America,37.1569,-119.4762,America/New_York,English,en,History,Arts & Culture,smart_tv,mobile_app,1,1,Visa,1,0,2026-04-28
1595,0,1,male,28,Millennial,1997-08-14,122,10.2,1129.15,87.9,0.274,0.907,Silver,Salem,Arizona,United States,US,North America,38.8226,-99.5619,America/New_York,English,en,Action & Adventure,Action & Spectacle,smart_tv,web,1,1,American Express,1,0,2016-03-13
1596,0,1,male,27,Millennial,1998-09-13,46,3.8,445.48,73.1,0.305,0.897,Silver,Madison,Washington,United States,US,North America,39.1428,-97.6649,America/New_York,English,en,Mystery,Horror & Suspense,desktop,web,1,1,American Express,1,0,2022-07-25
1597,0,1,male,35,Millennial,1991-05-21,190,15.8,2958.25,112.1,0.174,0.82,Silver,Madison,Arizona,United States,US,North America,39.6713,-99.3466,America/New_York,English,en,Kids,Family & Fantasy,smart_tv,mobile_app,1,0,Mastercard,1,0,2010-07-05
1598,1,0,male,24,Gen_Z,2001-10-22,76,6.3,864.65,123.0,0.927,0.935,Bronze,Madison,Missouri,United States,US,North America,39.6385,-98.0417,America/New_York,Portuguese,pt,Fantasy,Family & Fantasy,tablet,smart_tv,2,2,Mastercard,1,0,2020-01-03
1599,0,1,female,36,Gen_X,1990-05-05,158,13.2,1551.03,129.5,0.172,0.899,Gold,Georgetown,Minnesota,United States,US,North America,38.7929,-98.227,America/New_York,English,en,Disaster,Action & Spectacle,mobile,mobile_app,1,1,Visa,1,0,2013-03-03
1600,0,1,male,31,Millennial,1994-10-04,127,10.6,1287.19,77.1,0.184,0.998,Silver,Salem,Wisconsin,United States,US,North America,39.5466,-99.2644,America/New_York,English,en,Mystery,Horror & Suspense,mobile,web,1,1,American Express,1,0,2015-10-12
1601,0,1,male,38,Gen_X,1988-02-20,1,0.1,143.47,132.9,0.275,0.97,Silver,Scranton,Pennsylvania,United States,US,North America,39.7862,-97.9014,America/New_York,English,en,Short Film,Arts & Culture,desktop,partner,1,1,Visa,1,0,2026-05-30
1602,0,1,male,23,Gen_Z,2003-02-14,18,1.5,158.19,73.8,0.325,0.979,Silver,Franklin,Colorado,United States,US,North America,40.3664,-97.507,America/New_York,English,en,Psychological,Horror & Suspense,mobile,mobile_app,1,1,Debit Card,0,1,2024-11-16
