ContentKey,TalentKey,AllocationFactor,CastOrder
1520,7215,0.1127,3
1520,13851,0.0078,4
1521,10443,0.4586,1
1521,10571,0.3741,2
1521,9739,0.1673,3
1522,2849,0.5808,1
1522,7842,0.2173,2
1522,16732,0.2019,3
1523,3410,0.3943,1
1523,7120,0.3185,2
1523,7600,0.2176,3
1523,4093,0.0428,4
1523,5423,0.023,5
1523,5749,0.003,6
1523,16479,0.0009,7
1524,4232,0.313,1
1524,14571,0.2988,2
1524,8670,0.2107,3
1524,13051,0.1098,4
1524,9662,0.0359,5
1524,16637,0.0318,6
1524,9111,0.0001,7
1525,4796,0.4324,1
1525,12008,0.3292,2
1525,2447,0.1811,3
1525,7429,0.0317,4
1525,5374,0.0256,5
1526,3415,0.7702,1
1526,2472,0.2101,2
1526,9334,0.0197,3
1527,6448,0.7944,1
1527,7441,0.1729,2
1527,5819,0.0327,3
1528,6084,0.7654,1
1528,4259,0.1214,2
1528,10615,0.0818,3
1528,7391,0.0314,4
1529,17383,0.2658,1
1529,4920,0.262,2
1529,5407,0.2407,3
1529,6260,0.1845,4
1529,3818,0.0416,5
1529,12278,0.0054,6
1530,8306,0.4341,1
1530,9367,0.2895,2
1530,3805,0.155,3
1530,16189,0.0895,4
1530,10445,0.0179,5
1530,10181,0.014,6
1531,17209,0.6776,1
1531,3207,0.1706,2
1531,5227,0.1201,3
1531,6108,0.0317,4
1532,5700,0.3391,1
1532,6304,0.3169,2
1532,3786,0.1757,3
1532,15763,0.1042,4
1532,3398,0.0439,5
1532,6848,0.0201,6
1533,3595,0.7136,1
1533,9084,0.1768,2
1533,16469,0.0724,3
1533,4232,0.0331,4
1533,5452,0.0041,5
1534,11448,0.4747,1
1534,13609,0.3354,2
1534,2825,0.1346,3
1534,7256,0.0552,4
1535,6835,0.5495,1
1535,7684,0.1628,2
1535,7187,0.1068,3
1535,4530,0.0547,4
1535,6149,0.0503,5
1535,2686,0.0405,6
1535,7317,0.0354,7
1536,8482,0.4461,1
1536,16648,0.2816,2
1536,10418,0.2723,3
1537,4692,0.7775,1
1537,5931,0.1352,2
1537,7246,0.0383,3
1537,3371,0.0369,4
1537,6266,0.0121,5
1538,5879,0.376,1
1538,3057,0.3234,2
1538,4796,0.1709,3
1538,1757,0.0867,4
1538,4048,0.043,5
1539,9730,0.6065,1
1539,5552,0.1502,2
1539,3860,0.1121,3
1539,6274,0.1036,4
1539,5716,0.0175,5
1539,4344,0.01,6
1540,7452,0.57,1
1540,3179,0.2822,2
1540,3356,0.1479,3
1541,3539,0.5783,1
1541,16183,0.1873,2
1541,7565,0.1434,3
1541,15775,0.091,4
1542,6477,0.8237,1
1542,6348,0.1207,2
1542,5287,0.0502,3
1542,3950,0.0053,4
1543,3567,0.4314,1
1543,5847,0.2842,2
1543,5390,0.1142,3
1543,11334,0.0809,4
1543,5294,0.0371,5
1543,12810,0.0346,6
1543,6439,0.0175,7
1544,2370,0.5127,1
1544,2416,0.1976,2
1544,5071,0.1167,3
1544,14186,0.0863,4
1544,12037,0.044,5
1544,5367,0.0328,6
1544,7140,0.0097,7
1545,17312,0.5171,1
1545,12218,0.2975,2
1545,11741,0.087,3
1545,6933,0.057,4
1545,17050,0.0281,5
1545,14416,0.0134,6
1546,12654,0.4958,1
1546,9142,0.2213,2
1546,4095,0.2095,3
1546,7249,0.0734,4
1547,2052,0.3603,1
1547,2519,0.2457,2
1547,2690,0.2054,3
1547,4330,0.0814,4
1547,12124,0.0657,5
1547,5680,0.0281,6
1547,5633,0.0134,7
1548,11604,0.4389,1
1548,7293,0.2528,2
1548,8440,0.1699,3
1548,11282,0.1183,4
1548,7603,0.0201,5
1549,10984,0.4075,1
1549,7508,0.3639,2
1549,5469,0.1894,3
1549,17318,0.0393,4
1550,16243,0.4356,1
1550,13826,0.1739,2
1550,9586,0.1538,3
1550,9859,0.1367,4
1550,15230,0.1001,5
1551,9098,0.5499,1
1551,4047,0.3455,2
1551,14929,0.0927,3
1551,2276,0.0119,4
1552,9210,0.4154,1
1552,9519,0.3535,2
1552,6263,0.2311,3
1553,9704,0.8452,1
1553,1850,0.1481,2
1553,13130,0.0068,3
1554,16152,0.3941,1
1554,16211,0.2833,2
1554,13988,0.1567,3
1554,13216,0.0917,4
1554,12618,0.0674,5
1554,4218,0.0068,6
1555,15634,0.3235,1
1555,16648,0.2087,2
1555,11304,0.1573,3
1555,14615,0.1572,4
1555,15182,0.129,5
1555,12124,0.0243,6
1556,12196,0.6465,1
1556,12290,0.2091,2
1556,16998,0.1071,3
1556,13360,0.0374,4
1557,16166,0.5636,1
1557,2796,0.2012,2
1557,7480,0.102,3
1557,2014,0.0601,4
1557,17426,0.0537,5
1557,4493,0.0182,6
1557,5836,0.0012,7
1558,2827,0.4634,1
1558,17383,0.1646,2
1558,2023,0.1478,3
1558,1683,0.124,4
1558,3535,0.0771,5
1558,12290,0.0231,6
1559,11841,0.3594,1
1559,8842,0.2945,2
1559,10501,0.2474,3
1559,4428,0.0872,4
1559,11201,0.0115,5
1560,5501,0.3251,1
1560,4754,0.2892,2
1560,13800,0.2175,3
1560,5393,0.161,4
1560,6067,0.0073,5
1561,15237,0.4401,1
1561,1823,0.4078,2
1561,9633,0.1521,3
1562,11345,0.6482,1
1562,3986,0.2145,2
1562,7173,0.0754,3
1562,8487,0.0532,4
1562,13901,0.0086,5
1563,6263,0.5635,1
1563,10591,0.3737,2
1563,13296,0.0369,3
1563,9181,0.0258,4
1564,5145,0.8528,1
1564,7357,0.139,2
1564,7028,0.0082,3
1565,4368,0.3252,1
1565,14309,0.1903,2
1565,12625,0.1388,3
1565,7311,0.13,4
1565,3413,0.0945,5
1565,5317,0.0918,6
1565,7312,0.0294,7
1566,13250,0.296,1
1566,2075,0.2719,2
1566,3961,0.1912,3
1566,2256,0.1198,4
1566,3062,0.1001,5
1566,16374,0.0164,6
1566,11414,0.0044,7
1567,5049,0.3395,1
1567,17037,0.3198,2
1567,3886,0.1641,3
1567,6376,0.1247,4
1567,5726,0.0273,5
1567,12278,0.0246,6
1568,3122,0.286,1
1568,5980,0.2135,2
1568,14272,0.2094,3
1568,7274,0.1702,4
1568,3191,0.0955,5
1568,7111,0.0206,6
1568,10605,0.0048,7
1569,6822,0.3801,1
1569,13278,0.2607,2
1569,17000,0.2379,3
1569,2894,0.1213,4
1570,2897,0.3886,1
1570,11994,0.2858,2
1570,16753,0.2221,3
1570,16478,0.062,4
1570,3836,0.0415,5
1571,6666,0.3953,1
1571,11678,0.2165,2
1571,5463,0.154,3
1571,13931,0.1261,4
1571,9618,0.0572,5
1571,6915,0.0422,6
1571,14924,0.0086,7
1572,4548,0.403,1
1572,16751,0.2336,2
1572,14928,0.2311,3
1572,13870,0.1324,4
1573,3963,0.3766,1
1573,7410,0.2214,2
1573,4947,0.2042,3
1573,6724,0.1381,4
1573,3236,0.0345,5
1573,10751,0.0254,6
1574,5572,0.6437,1
1574,14440,0.3212,2
1574,17390,0.0351,3
1575,10132,0.4194,1
1575,8780,0.4084,2
1575,10605,0.1146,3
1575,14815,0.0348,4
1575,11655,0.0166,5
1575,10163,0.0062,6
1575,7707,0.0001,7
1576,2682,0.6175,1
1576,2195,0.3001,2
1576,17063,0.0824,3
1577,6276,0.555,1
1577,7516,0.3271,2
1577,15169,0.1169,3
1577,2151,0.001,4
1578,3962,0.4208,1
1578,7125,0.3224,2
1578,11280,0.0952,3
1578,12192,0.0715,4
1578,7778,0.0673,5
1578,13285,0.0227,6
1579,7625,0.6946,1
1579,5380,0.269,2
1579,15284,0.025,3
1579,2009,0.0114,4
1580,7872,0.3514,1
1580,13397,0.2115,2
1580,4623,0.1763,3
1580,5909,0.1747,4
1580,10677,0.0861,5
1581,8509,0.5512,1
1581,1953,0.1828,2
1581,15357,0.1089,3
1581,6463,0.0867,4
1581,12618,0.054,5
1581,15036,0.0164,6
1582,9872,0.6749,1
1582,11886,0.1345,2
1582,3101,0.0768,3
1582,3417,0.0655,4
1582,4175,0.0365,5
1582,10835,0.0118,6
1583,11626,0.4756,1
1583,15634,0.4483,2
1583,15198,0.0761,3
1584,17121,0.2869,1
1584,14452,0.2622,2
1584,15730,0.2346,3
1584,3962,0.1845,4
1584,9236,0.0318,5
1585,16751,0.7356,1
1585,4088,0.0925,2
1585,5137,0.0683,3
1585,14459,0.0659,4
1585,2456,0.0302,5
1585,5148,0.0075,6
1586,14281,0.3622,1
1586,6536,0.3047,2
1586,4272,0.1589,3
1586,13195,0.0931,4
1586,6016,0.081,5
1587,8960,0.2862,1
1587,2555,0.2297,2
1587,9711,0.1286,3
1587,4563,0.1176,4
1587,8296,0.1049,5
1587,11714,0.1032,6
1587,17069,0.0298,7
1588,8530,0.4415,1
1588,1863,0.3001,2
1588,5900,0.0767,3
1588,9533,0.0673,4
1588,8960,0.0623,5
1588,13715,0.0299,6
1588,7537,0.0222,7
1589,15663,0.226,1
1589,2695,0.2243,2
1589,11049,0.1759,3
1589,1835,0.1462,4
1589,6752,0.1161,5
1589,5326,0.1114,6
1590,3252,0.3125,1
1590,3108,0.2684,2
1590,4443,0.2372,3
1590,3532,0.1819,4
1591,3695,0.3614,1
1591,8582,0.2724,2
1591,8196,0.2186,3
1591,2098,0.1475,4
1592,2691,0.8468,1
1592,2090,0.11,2
1592,13579,0.0433,3
1593,14384,0.2118,1
1593,8196,0.2087,2
1593,16694,0.1897,3
1593,9028,0.1534,4
1593,8232,0.1503,5
1593,12428,0.0547,6
1593,4266,0.0315,7
1594,1752,0.4041,1
1594,6291,0.2751,2
1594,2170,0.1663,3
1594,4627,0.1544,4
1595,7278,0.7783,1
1595,2939,0.1828,2
1595,9092,0.0389,3
1596,13172,0.8141,1
1596,4425,0.0794,2
1596,13897,0.0651,3
1596,9092,0.0351,4
1596,11910,0.0062,5
1597,14936,0.5258,1
1597,6144,0.2146,2
1597,9849,0.1349,3
1597,5549,0.1248,4
1598,2638,0.7583,1
1598,7659,0.1809,2
1598,6057,0.0608,3
1599,13799,0.3427,1
1599,10094,0.3176,2
1599,13416,0.2751,3
1599,12580,0.0646,4
1600,12534,0.6597,1
1600,2151,0.2608,2
1600,6978,0.0393,3
1600,7205,0.0197,4
1600,2465,0.0156,5
1600,7409,0.0048,6
1601,14428,0.4923,1
1601,15366,0.296,2
1601,5519,0.1537,3
1601,4840,0.058,4
1602,4062,0.6514,1
1602,9987,0.1274,2
1602,11011,0.0836,3
1602,7344,0.056,4
1602,11314,0.0498,5
1602,9686,0.0286,6
1602,10785,0.0033,7
1603,3839,0.3468,1
1603,4031,0.1857,2
1603,6198,0.1763,3
1603,8618,0.1138,4
1603,3601,0.0684,5
1603,2506,0.0654,6
1603,9892,0.0436,7
1604,2803,0.9687,1
1604,1646,0.0268,2
1604,8255,0.0045,3
1605,5907,0.3342,1
1605,4346,0.2796,2
1605,2008,0.2067,3
1605,8060,0.1356,4
1605,3385,0.0439,5
1606,2322,0.3952,1
1606,3942,0.2926,2
1606,4856,0.1585,3
1606,3896,0.1436,4
1606,3848,0.0054,5
1606,15748,0.0047,6
1607,16598,0.3306,1
1607,13536,0.2938,2
1607,17120,0.2788,3
1607,12711,0.0891,4
1607,5255,0.0077,5
1608,5279,0.5365,1
1608,6539,0.2373,2
1608,2577,0.2261,3
1609,3195,0.2907,1
1609,6425,0.2424,2
1609,6263,0.2268,3
1609,3154,0.1219,4
1609,8622,0.0505,5
1609,8558,0.039,6
1609,5063,0.0288,7
1610,10249,0.4231,1
1610,3502,0.2681,2
1610,2213,0.201,3
1610,9383,0.097,4
1610,13338,0.0089,5
1610,10224,0.002,6
1611,4394,0.7329,1
1611,5424,0.1832,2
1611,4486,0.0497,3
1611,4102,0.032,4
1611,5347,0.0022,5
1612,12756,0.7523,1
1612,2523,0.1412,2
1612,5577,0.1064,3
1613,14782,0.2635,1
1613,4721,0.2569,2
1613,8739,0.1539,3
1613,10935,0.1434,4
1613,12173,0.1051,5
1613,14321,0.0585,6
1613,7330,0.0188,7
1614,6999,0.5232,1
1614,3380,0.3594,2
1614,2106,0.1174,3
1615,13433,0.5373,1
1615,16049,0.3833,2
1615,15435,0.0736,3
1615,4341,0.0059,4
1616,3628,0.7874,1
1616,5359,0.1496,2
1616,3332,0.0631,3
1617,8079,0.3613,1
1617,7611,0.3032,2
1617,6451,0.1732,3
1617,2985,0.1371,4
1617,2340,0.0142,5
1617,1964,0.0111,6
1618,4779,0.8512,1
1618,7262,0.1383,2
1618,9307,0.0105,3
1619,1713,0.9478,1
1619,8305,0.0522,2
1620,8345,0.8403,1
1620,13879,0.0582,2
1620,16844,0.0458,3
1620,6972,0.043,4
1620,10354,0.0101,5
1620,16932,0.0026,6
1621,2734,0.3106,1
1621,4163,0.2798,2
1621,7138,0.1351,3
1621,4220,0.1225,4
1621,4458,0.1054,5
1621,12085,0.0433,6
1621,1902,0.0033,7
1622,2934,0.3557,1
1622,4372,0.2944,2
1622,3997,0.1684,3
1622,14632,0.1311,4
1622,9652,0.0398,5
1622,7032,0.0099,6
1622,10791,0.0008,7
1623,4006,0.7531,1
1623,3186,0.1222,2
1623,7104,0.0668,3
1623,8405,0.0573,4
1623,2545,0.0006,5
1624,3697,0.4708,1
1624,10445,0.2407,2
1624,7539,0.1088,3
1624,7254,0.1063,4
1624,11347,0.0734,5
1625,15898,0.8036,1
1625,2754,0.1012,2
1625,14150,0.0952,3
1626,7716,0.4914,1
1626,8081,0.2838,2
1626,4589,0.0803,3
1626,2307,0.0735,4
1626,10986,0.051,5
1626,10460,0.0201,6
1627,9663,0.5378,1
1627,11106,0.4506,2
1627,8370,0.0116,3
1628,4972,0.5491,1
1628,11075,0.2381,2
1628,10584,0.1532,3
1628,4259,0.0596,4
1629,12637,0.4552,1
1629,4702,0.2083,2
1629,8779,0.1996,3
1629,5748,0.1369,4
1630,2347,0.3517,1
1630,2837,0.1924,2
1630,12302,0.1742,3
1630,14593,0.1472,4
1630,3580,0.1035,5
1630,2607,0.0182,6
1630,4254,0.0128,7
1631,16374,0.2075,1
1631,12151,0.1722,2
1631,11762,0.1722,3
1631,12790,0.145,4
1631,12176,0.1259,5
1631,11758,0.0915,6
1631,4016,0.0858,7
1632,10743,0.9756,1
1632,6594,0.0185,2
1632,4168,0.0059,3
1633,10171,0.331,1
1633,2227,0.3094,2
1633,3650,0.2011,3
1633,4907,0.1089,4
1633,11339,0.0367,5
1633,5336,0.0128,6
1634,17516,0.6317,1
1634,5579,0.2413,2
1634,13579,0.1229,3
1634,11344,0.0041,4
1635,10450,0.6449,1
1635,15786,0.2697,2
1635,3262,0.0854,3
1636,6204,0.7195,1
1636,14097,0.1569,2
1636,9113,0.1237,3
1637,4434,0.7766,1
1637,14921,0.2006,2
1637,11234,0.0228,3
1638,7655,0.2836,1
1638,15835,0.1992,2
1638,15513,0.1966,3
1638,4153,0.1589,4
1638,5588,0.0718,5
1638,2293,0.0496,6
1638,2098,0.0403,7
1639,16080,0.6297,1
1639,15745,0.2482,2
1639,5562,0.1221,3
1640,2375,0.4519,1
1640,6408,0.3466,2
1640,3330,0.1641,3
1640,1770,0.0374,4
1641,6721,0.7983,1
1641,9059,0.128,2
1641,8185,0.0737,3
1642,10325,0.8165,1
1642,8815,0.1395,2
1642,5372,0.044,3
1643,5420,0.5708,1
1643,6388,0.1596,2
1643,8630,0.098,3
1643,9765,0.0744,4
1643,8531,0.0698,5
1643,6682,0.0238,6
1643,3363,0.0035,7
1644,2187,0.3793,1
1644,10388,0.2639,2
1644,4027,0.2116,3
1644,4338,0.1452,4
1645,5902,0.5879,1
1645,4787,0.2541,2
1645,2619,0.1248,3
1645,3800,0.0333,4
1646,16582,0.4215,1
1646,3665,0.2486,2
1646,5718,0.1741,3
1646,11101,0.1557,4
1647,4394,0.66,1
1647,6846,0.1824,2
1647,11288,0.1233,3
1647,6387,0.0343,4
1648,13249,0.6742,1
1648,2436,0.2805,2
1648,12139,0.0453,3
1649,11706,0.4458,1
1649,6395,0.2984,2
1649,4223,0.1177,3
1649,4931,0.1171,4
1649,16149,0.021,5
1650,10720,0.5356,1
1650,10540,0.3341,2
1650,5289,0.1303,3
1651,7613,0.9318,1
1651,8574,0.0436,2
1651,4641,0.0246,3
1652,6535,0.8478,1
1652,15474,0.0657,2
1652,11201,0.0439,3
1652,5537,0.0346,4
1652,4690,0.008,5
1653,1647,0.4296,1
1653,2398,0.4003,2
1653,4410,0.0924,3
1653,10404,0.0384,4
1653,7277,0.03,5
1653,2341,0.0047,6
1653,2537,0.0046,7
1654,4191,0.3461,1
1654,7747,0.2205,2
1654,6404,0.1698,3
1654,4312,0.1317,4
1654,3305,0.1195,5
1654,5769,0.0123,6
1655,4340,0.4514,1
1655,17497,0.2107,2
1655,11263,0.195,3
1655,3053,0.0676,4
1655,8342,0.0554,5
1655,5615,0.0199,6
1656,2262,0.3585,1
1656,9092,0.2732,2
1656,7723,0.1993,3
1656,9823,0.169,4
1657,17560,0.624,1
1657,8153,0.353,2
1657,1923,0.0231,3
1658,8996,0.4768,1
1658,4366,0.2878,2
1658,9169,0.2354,3
1659,10268,0.6682,1
1659,6069,0.1466,2
1659,7434,0.0891,3
1659,3727,0.0567,4
1659,11143,0.0393,5
1660,8012,0.3473,1
1660,9504,0.2935,2
1660,10079,0.255,3
1660,8640,0.0661,4
1660,10192,0.0234,5
1660,10001,0.0147,6
1661,4424,0.3753,1
1661,8576,0.3366,2
1661,7660,0.1356,3
1661,6510,0.1215,4
1661,3630,0.0173,5
1661,10828,0.0133,6
1661,9203,0.0003,7
1662,3370,0.4796,1
1662,4094,0.2121,2
1662,6846,0.1614,3
1662,2487,0.1425,4
1662,7435,0.0043,5
1663,11197,0.4797,1
1663,2009,0.3178,2
1663,3199,0.1185,3
1663,6185,0.0556,4
1663,9970,0.0283,5
1664,7825,0.4787,1
1664,5765,0.1645,2
1664,8196,0.1521,3
1664,13318,0.1178,4
1664,17218,0.0588,5
1664,14986,0.028,6
1665,8659,0.2941,1
1665,7634,0.2675,2
1665,14300,0.1725,3
1665,2607,0.1507,4
1665,15356,0.0931,5
1665,11378,0.0118,6
1665,2778,0.0103,7
1666,5267,0.9817,1
1666,9093,0.0183,2
1667,3558,0.441,1
1667,2520,0.2907,2
1667,10571,0.101,3
1667,3161,0.0817,4
1667,7465,0.0471,5
1667,9652,0.0385,6
1668,5775,0.4681,1
1668,2157,0.3259,2
1668,1996,0.0816,3
1668,15744,0.0577,4
1668,13432,0.0392,5
1668,2524,0.0277,6
1669,14303,0.4062,1
1669,16099,0.1921,2
1669,9489,0.1317,3
1669,8537,0.1185,4
1669,15090,0.1071,5
1669,11338,0.0255,6
1669,7981,0.0189,7
1670,8436,0.4125,1
1670,2742,0.374,2
1670,2553,0.0832,3
1670,4792,0.0763,4
1670,8223,0.0477,5
1670,4916,0.0063,6
1671,9729,0.6634,1
1671,8442,0.2927,2
1671,2260,0.0439,3
1672,3896,0.3669,1
1672,2417,0.3532,2
1672,6084,0.2409,3
1672,8895,0.039,4
1673,3594,0.5983,1
1673,13102,0.2803,2
1673,16728,0.0853,3
1673,3620,0.0361,4
1674,1812,0.4986,1
1674,4506,0.2448,2
1674,11353,0.1029,3
1674,6005,0.0738,4
1674,7174,0.0531,5
1674,3571,0.0267,6
1675,5585,0.7606,1
1675,7218,0.1311,2
1675,16147,0.0654,3
1675,9363,0.0227,4
1675,3379,0.0203,5
1676,2009,0.3123,1
1676,8573,0.2462,2
1676,11096,0.1795,3
1676,9463,0.1356,4
1676,2794,0.1263,5
1677,13129,0.9245,1
1677,3729,0.0755,2
1678,7780,0.4606,1
1678,4146,0.3903,2
1678,8466,0.1021,3
1678,7691,0.0331,4
1678,15441,0.0139,5
1679,4260,0.4619,1
1679,8000,0.3555,2
1679,1864,0.0889,3
1679,15090,0.0654,4
1679,4812,0.0282,5
1680,2637,0.3779,1
1680,9479,0.2719,2
1680,8412,0.245,3
1680,10435,0.1052,4
1681,9213,0.4146,1
1681,5508,0.222,2
1681,6231,0.2119,3
1681,17189,0.0634,4
1681,9153,0.039,5
1681,8579,0.0281,6
1681,5906,0.021,7
1682,15746,0.8078,1
1682,2108,0.0817,2
1682,8238,0.0758,3
1682,11962,0.0329,4
1682,7728,0.0018,5
1683,10215,0.6123,1
1683,11014,0.2292,2
1683,12531,0.0841,3
1683,3228,0.0744,4
1684,2887,0.8927,1
1684,3693,0.0911,2
1684,5611,0.0162,3
1685,10219,0.4667,1
1685,8126,0.3959,2
1685,4005,0.106,3
1685,10192,0.0313,4
1686,5887,0.3451,1
1686,10161,0.267,2
1686,3732,0.1771,3
1686,8946,0.1081,4
1686,10653,0.1027,5
1687,5439,0.3224,1
1687,4424,0.2777,2
1687,8964,0.1883,3
1687,7525,0.1543,4
1687,2658,0.0266,5
1687,8720,0.0232,6
1687,6954,0.0076,7
1688,5345,0.3907,1
1688,3759,0.2617,2
1688,2870,0.235,3
1688,4191,0.1126,4
1689,1637,0.5752,1
1689,1745,0.3392,2
1689,2318,0.0856,3
1690,5045,0.3269,1
1690,3799,0.322,2
1690,3282,0.1883,3
1690,9321,0.1158,4
1690,5222,0.0415,5
1690,2643,0.0055,6
1691,14928,0.5063,1
1691,4919,0.3507,2
1691,14821,0.1197,3
1691,12039,0.0234,4
1692,5998,0.5269,1
1692,10812,0.3108,2
1692,15421,0.1202,3
1692,2472,0.0422,4
1693,3935,0.4521,1
1693,4972,0.3091,2
1693,3263,0.077,3
1693,10145,0.0617,4
1693,2085,0.0449,5
1693,5162,0.0424,6
1693,3694,0.0127,7
1694,14232,0.4957,1
1694,12543,0.2989,2
1694,9410,0.105,3
1694,6741,0.067,4
1694,16946,0.0247,5
1694,8339,0.0087,6
1695,3434,0.7947,1
1695,9039,0.0991,2
1695,6254,0.0557,3
1695,10699,0.0405,4
1695,2791,0.01,5
1696,7862,0.6026,1
1696,11007,0.2176,2
1696,1876,0.1798,3
1697,12303,0.4573,1
1697,3320,0.2353,2
1697,3840,0.217,3
1697,17006,0.071,4
1697,4297,0.0194,5
1698,3105,0.4072,1
1698,9991,0.2278,2
1698,3035,0.1354,3
1698,2568,0.128,4
1698,8950,0.0669,5
1698,10254,0.0347,6
1699,14581,0.3591,1
1699,1876,0.1956,2
1699,17633,0.1854,3
1699,12146,0.1203,4
1699,2314,0.0555,5
1699,11572,0.0421,6
1699,2409,0.0419,7
1700,8353,0.6066,1
1700,10101,0.3408,2
1700,14474,0.0526,3
1701,3283,0.3306,1
1701,6775,0.2657,2
1701,8420,0.2416,3
1701,16854,0.1038,4
1701,2573,0.0322,5
1701,7185,0.0258,6
1701,3704,0.0003,7
1702,4779,0.2755,1
1702,5707,0.2415,2
1702,7653,0.1972,3
1702,8841,0.1575,4
1702,8607,0.1282,5
1703,3606,0.7628,1
1703,3137,0.2323,2
1703,10825,0.0049,3
1704,5511,0.4938,1
1704,2645,0.2383,2
1704,2662,0.2095,3
1704,5910,0.0584,4
1705,14897,0.8558,1
1705,16761,0.1403,2
1705,2747,0.0027,3
1705,2154,0.0013,4
1706,17051,0.8911,1
1706,3090,0.0653,2
1706,14558,0.0436,3
1707,6181,0.7034,1
1707,16347,0.2966,2
1708,10936,0.4163,1
1708,6302,0.2463,2
1708,4753,0.2319,3
1708,6858,0.0984,4
1708,4230,0.0071,5
1709,3644,0.5038,1
1709,2725,0.3215,2
1709,9671,0.1746,3
1710,8081,0.5395,1
1710,5914,0.3672,2
1710,6116,0.0834,3
1710,6942,0.01,4
1711,13820,0.3559,1
1711,12604,0.3347,2
1711,12385,0.1256,3
1711,8346,0.0823,4
1711,16823,0.0446,5
1711,12445,0.0406,6
1711,1712,0.0162,7
1712,16696,0.6995,1
1712,17131,0.2853,2
1712,1681,0.0151,3
1713,10988,0.9368,1
1713,4754,0.0564,2
1713,8523,0.0068,3
1714,5413,0.2886,1
1714,11177,0.2715,2
1714,10139,0.2161,3
1714,12210,0.204,4
1714,7865,0.0198,5
1715,16601,0.483,1
1715,9033,0.2288,2
1715,15362,0.1564,3
1715,17618,0.1158,4
1715,7980,0.016,5
1716,13191,0.5164,1
1716,6101,0.3513,2
1716,13835,0.0677,3
1716,15505,0.0511,4
1716,4304,0.0135,5
1717,11399,0.3079,1
1717,3844,0.2722,2
1717,8732,0.2235,3
1717,11149,0.1491,4
1717,8564,0.0473,5
1718,1674,0.2957,1
1718,7889,0.2773,2
1718,10925,0.2754,3
1718,5623,0.1461,4
1718,2164,0.0056,5
1719,9725,0.4086,1
1719,10567,0.3664,2
1719,8042,0.2249,3
1720,4660,0.5217,1
1720,2044,0.2999,2
1720,1740,0.0863,3
1720,8035,0.0399,4
1720,17312,0.0312,5
1720,15805,0.021,6
1721,5803,0.6206,1
1721,6104,0.207,2
1721,7611,0.1715,3
1721,4368,0.0005,4
1721,1667,0.0004,5
1722,14286,0.7267,1
1722,14393,0.2294,2
1722,4748,0.0439,3
1723,7351,0.569,1
1723,4222,0.3986,2
1723,2085,0.0324,3
1724,9630,0.3801,1
1724,7121,0.2652,2
1724,4891,0.2209,3
1724,10286,0.115,4
1724,13609,0.0189,5
1725,10885,0.7322,1
1725,12733,0.2641,2
1725,9701,0.0037,3
1726,12154,0.405,1
1726,7130,0.3136,2
1726,11865,0.2307,3
1726,10582,0.0306,4
1726,12901,0.0201,5
1727,5243,0.2683,1
1727,8207,0.202,2
1727,1642,0.1573,3
1727,9739,0.1508,4
