CustomerKey,AgeGroup,MonthsAsCustomer,ChurnRiskScore,LifetimeValue,AvgSessionMinutes,PaymentReliability,CustomerSegment
1573,adult,92,0.325,1457.09,59.9,0.936,Silver
1574,adult,130,0.239,1836.26,43.8,0.901,Silver
1575,young_adult,4,0.347,122.9,133.5,0.998,Silver
1576,adult,101,0.294,975.55,54.1,0.947,Silver
1577,adult,108,0.28,1899.9,60.9,0.838,Silver
1578,adult,137,0.297,2273.08,70.6,0.819,Silver
1579,young_adult,8,0.384,169.83,90.8,0.775,Bronze
1580,adult,34,0.859,339.08,63.5,0.717,Bronze
1581,adult,191,0.957,2949.31,50.4,0.757,Bronze
1582,adult,195,0.19,3388.47,54.1,0.844,Silver
1583,adult,188,0.2,3525.0,102.4,0.956,Gold
1584,adult,84,0.271,738.33,86.6,0.817,Silver
1585,adult,46,0.278,765.29,29.8,0.984,Silver
1586,young_adult,5,0.771,84.8,112.5,0.738,Bronze
1587,adult,76,0.25,1123.69,109.3,0.937,Silver
1588,adult,36,0.311,462.3,120.0,0.889,Silver
1589,adult,163,0.189,2674.28,58.0,0.939,Silver
1590,adult,1,0.381,86.36,69.7,0.906,Bronze
1591,young_adult,47,0.301,689.78,171.0,0.934,Silver
1592,young_adult,8,0.783,96.08,88.3,0.899,Bronze
1593,adult,190,0.232,2725.33,48.7,0.759,Silver
1594,young_adult,1,0.32,82.85,147.9,0.845,Silver
1595,adult,122,0.274,1129.15,87.9,0.907,Silver
1596,adult,46,0.305,445.48,73.1,0.897,Silver
1597,adult,190,0.174,2958.25,112.1,0.82,Silver
1598,young_adult,76,0.927,864.65,123.0,0.935,Bronze
1599,adult,158,0.172,1551.03,129.5,0.899,Gold
1600,adult,127,0.184,1287.19,77.1,0.998,Silver
1601,adult,1,0.275,143.47,132.9,0.97,Silver
1602,young_adult,18,0.325,158.19,73.8,0.979,Silver
1603,adult,1,0.467,94.81,47.1,0.81,Bronze
1604,adult,115,0.163,1408.99,175.7,0.966,Gold
1605,adult,193,0.176,2315.8,72.4,0.92,Gold
1606,adult,130,0.206,1976.45,45.7,0.985,Silver
1607,adult,73,0.319,781.89,28.2,0.91,Silver
1608,adult,184,0.129,1574.18,103.2,0.91,Gold
1609,middle_aged,10,0.372,114.77,64.5,0.816,Bronze
1610,adult,163,0.241,3150.8,40.7,0.793,Silver
1611,middle_aged,160,0.241,1778.87,63.5,0.771,Silver
1612,adult,1,0.336,105.51,76.4,0.998,Silver
1613,adult,84,0.283,803.58,57.9,0.735,Bronze
1614,adult,120,0.288,2011.0,33.4,0.945,Silver
1615,adult,146,0.216,1848.89,47.6,0.964,Silver
1616,middle_aged,65,0.346,931.42,168.6,0.763,Silver
1617,adult,136,0.27,1701.64,103.3,0.859,Silver
1618,adult,180,0.095,3148.3,107.4,0.979,Gold
1619,young_adult,1,0.383,92.3,26.6,0.927,Bronze
1620,young_adult,1,0.285,115.65,138.8,0.928,Silver
1621,young_adult,1,0.406,136.83,65.0,0.752,Bronze
1622,adult,169,0.209,1906.55,37.1,0.982,Silver
1623,adult,183,0.216,1613.44,43.7,0.913,Silver
1624,adult,101,0.335,1254.6,42.8,0.739,Bronze
1625,adult,97,0.232,878.67,46.7,0.915,Silver
1626,adult,118,0.234,1147.7,161.4,0.802,Silver
1627,young_adult,23,0.348,335.53,73.4,0.971,Silver
1628,adult,49,0.83,963.62,52.5,0.867,Bronze
1629,adult,81,0.269,802.46,180.0,0.739,Silver
1630,adult,48,0.391,734.71,24.9,0.763,Bronze
1631,adult,147,0.222,1378.47,43.1,0.939,Silver
1632,middle_aged,177,0.194,2134.91,22.1,0.873,Silver
1633,young_adult,4,0.766,140.83,41.4,0.797,Bronze
1634,young_adult,66,0.347,1109.88,142.5,0.701,Silver
1635,adult,160,0.946,1485.4,129.8,0.959,Bronze
1636,middle_aged,102,0.216,1391.7,105.3,0.904,Silver
1637,adult,123,0.209,1813.37,125.0,0.788,Silver
1638,young_adult,1,0.317,111.14,101.9,0.867,Bronze
1639,adult,189,0.195,1770.55,54.3,0.82,Silver
1640,adult,109,0.878,1468.37,55.4,0.732,Bronze
1641,adult,143,0.908,1469.97,45.9,0.955,Bronze
1642,adult,58,0.33,810.9,64.2,0.759,Bronze
1643,adult,184,0.222,2842.82,84.6,0.763,Silver
1644,middle_aged,174,0.115,3406.31,138.2,0.998,Gold
1645,adult,170,0.158,3254.7,75.6,0.724,Silver
1646,adult,68,0.339,712.39,58.1,0.838,Silver
1647,adult,121,0.259,2234.94,38.7,0.881,Silver
1648,adult,110,0.273,1133.21,104.9,0.713,Silver
1649,adult,98,0.243,1916.06,40.1,0.959,Silver
1650,middle_aged,160,0.207,1594.5,86.5,0.843,Silver
1651,adult,4,0.364,93.84,50.8,0.977,Bronze
1652,middle_aged,69,0.297,672.78,77.6,0.84,Silver
1653,adult,101,0.315,1522.39,54.9,0.798,Silver
1654,adult,145,0.172,1687.56,98.7,0.996,Gold
1655,middle_aged,157,0.21,2195.12,55.5,0.844,Silver
1656,adult,148,0.233,1660.14,45.6,0.919,Silver
1657,adult,123,0.281,1470.72,99.6,0.717,Silver
1658,young_adult,1,0.312,104.01,75.9,0.921,Bronze
1659,adult,186,0.259,3089.7,83.9,0.743,Silver
1660,adult,89,0.271,1357.79,69.2,0.872,Silver
1661,young_adult,56,0.292,691.34,131.6,0.908,Silver
1662,adult,51,0.328,960.26,96.8,0.775,Bronze
1663,young_adult,22,0.312,192.47,55.0,0.98,Silver
1664,adult,126,0.753,1650.25,103.3,0.975,Bronze
1665,adult,176,0.133,3123.24,155.2,0.85,Gold
1666,adult,16,0.442,198.72,30.0,0.79,Bronze
1667,adult,185,0.181,3575.29,65.0,0.944,Gold
1668,senior,131,0.251,1580.61,70.1,0.919,Silver
1669,adult,112,0.252,1413.03,73.8,0.927,Silver
1670,young_adult,12,0.938,135.95,136.6,0.783,Bronze
1671,adult,5,0.833,72.33,64.0,0.962,Bronze
1672,adult,188,0.22,2885.79,68.4,0.896,Silver
1673,middle_aged,193,0.196,1815.06,108.0,0.733,Silver
1674,adult,23,0.336,342.9,23.5,0.857,Bronze
1675,young_adult,1,0.394,121.93,33.9,0.822,Bronze
1676,young_adult,18,0.273,289.79,62.4,0.888,Bronze
1677,adult,23,0.847,236.78,108.4,0.844,Bronze
1678,young_adult,1,0.373,113.3,59.1,0.763,Bronze
1679,senior,192,0.181,3584.55,68.5,0.833,Silver
1680,adult,39,0.339,731.43,51.5,0.823,Bronze
1681,adult,116,0.323,2144.44,52.2,0.812,Silver
1682,young_adult,3,0.269,152.51,116.8,0.939,Silver
1683,adult,41,0.378,363.76,56.4,0.705,Bronze
1684,adult,175,0.246,1524.59,40.5,0.938,Silver
1685,adult,195,0.158,2002.17,118.2,0.844,Gold
1686,young_adult,43,0.319,511.77,52.7,0.999,Silver
1687,young_adult,6,0.377,95.41,91.9,0.889,Bronze
1688,young_adult,15,0.383,137.75,56.7,0.932,Bronze
1689,young_adult,35,0.269,340.31,88.0,0.914,Silver
1690,middle_aged,43,0.36,543.14,52.7,0.908,Silver
1691,young_adult,54,0.754,614.13,35.4,0.75,Bronze
1692,adult,160,0.731,2397.51,35.3,0.811,Bronze
1693,young_adult,3,0.409,125.26,143.1,0.713,Bronze
1694,adult,72,0.304,927.98,56.6,0.875,Silver
1695,adult,127,0.29,1313.28,30.9,0.704,Bronze
1696,adult,44,0.349,525.9,67.2,0.839,Bronze
1697,adult,101,0.249,1540.49,47.0,0.814,Silver
1698,adult,141,0.744,2467.34,106.0,0.836,Bronze
1699,adult,181,0.208,3387.69,138.3,0.88,Gold
1700,young_adult,5,0.33,91.6,83.9,0.784,Bronze
1701,young_adult,2,0.355,140.42,57.0,0.976,Bronze
1702,young_adult,1,0.914,72.38,86.6,0.808,Bronze
1703,young_adult,25,0.424,242.56,36.3,0.707,Bronze
1704,young_adult,1,0.339,130.87,83.3,0.993,Silver
1705,young_adult,59,0.32,1159.36,91.4,0.884,Silver
1706,adult,115,0.297,2251.69,49.6,0.889,Silver
1707,adult,82,0.281,1024.87,72.3,0.867,Silver
1708,middle_aged,157,0.259,2069.35,65.3,0.8,Silver
1709,adult,42,0.376,581.05,40.9,0.856,Bronze
1710,young_adult,1,0.825,135.75,111.6,0.704,Bronze
1711,adult,153,0.228,1690.97,88.2,0.93,Silver
1712,adult,101,0.869,1372.29,85.8,0.965,Bronze
1713,adult,115,0.323,2262.62,54.4,0.726,Bronze
1714,adult,1,0.361,168.53,80.9,0.919,Bronze
1715,adult,26,0.401,221.38,37.5,0.773,Bronze
1716,adult,1,0.423,109.97,65.5,0.764,Bronze
1717,adult,153,0.155,2643.61,67.6,0.961,Silver
1718,adult,188,0.195,2735.32,73.7,0.805,Silver
1719,middle_aged,192,0.242,1804.76,44.6,0.778,Silver
1720,adult,58,0.844,920.6,106.7,0.809,Bronze
1721,adult,178,0.879,2715.51,99.5,0.909,Bronze
1722,adult,86,0.317,1659.35,68.1,0.705,Bronze
1723,middle_aged,151,0.253,2491.43,100.9,0.74,Silver
1724,young_adult,52,0.266,545.83,95.3,0.886,Silver
1725,young_adult,41,0.77,624.53,27.9,0.721,Bronze
1726,young_adult,8,0.912,76.83,103.8,0.769,Bronze
1727,adult,1,0.294,159.21,180.0,0.906,Silver
1728,middle_aged,147,0.18,2084.25,138.3,0.859,Silver
1729,adult,97,0.248,965.55,85.6,0.882,Silver
1730,adult,1,0.795,111.12,61.8,0.918,Bronze
1731,middle_aged,114,0.262,1873.95,51.6,0.929,Silver
1732,adult,107,0.198,1090.8,73.1,0.951,Silver
1733,middle_aged,190,0.181,3552.81,149.6,0.745,Silver
1734,adult,187,0.196,2279.55,75.8,0.887,Silver
1735,adult,190,0.122,3715.73,164.8,0.784,Gold
1736,young_adult,7,0.397,79.52,65.7,0.965,Silver
1737,adult,35,0.271,431.91,73.8,0.726,Bronze
1738,young_adult,39,0.37,408.52,53.5,0.883,Bronze
1739,adult,175,0.181,3271.23,153.1,0.824,Gold
1740,adult,122,0.3,1910.35,96.5,0.702,Silver
1741,adult,130,0.222,1835.85,112.9,0.808,Silver
1742,adult,50,0.37,462.02,61.9,0.726,Bronze
1743,middle_aged,184,0.231,2945.61,46.2,0.818,Silver
1744,adult,148,0.823,1331.12,72.7,0.704,Bronze
1745,adult,113,0.938,2210.03,93.6,0.84,Bronze
1746,young_adult,1,0.395,142.27,58.1,0.832,Bronze
1747,adult,1,0.797,74.45,135.6,0.835,Bronze
1748,middle_aged,11,0.339,173.1,34.9,0.966,Bronze
1749,adult,172,0.728,3212.53,56.6,0.987,Bronze
1750,adult,132,0.166,1141.53,114.2,0.907,Silver
1751,adult,44,0.367,831.63,79.0,0.701,Bronze
1752,adult,156,0.941,2354.19,108.4,0.83,Bronze
1753,young_adult,3,0.393,132.09,24.8,0.935,Bronze
1754,adult,179,0.201,3462.39,74.4,0.776,Silver
1755,young_adult,1,0.372,74.94,98.8,0.799,Bronze
1756,young_adult,1,0.325,83.88,153.1,0.789,Bronze
1757,adult,1,0.385,104.65,99.9,0.749,Bronze
1758,young_adult,79,0.233,1260.14,49.3,0.995,Silver
1759,middle_aged,59,0.293,960.41,83.7,0.924,Silver
1760,adult,93,0.281,1285.69,60.1,0.95,Silver
1761,adult,98,0.265,855.4,43.6,0.991,Silver
1762,middle_aged,151,0.207,2671.44,83.2,0.83,Silver
1763,middle_aged,181,0.187,2913.85,47.8,0.93,Silver
1764,adult,86,0.215,836.8,54.6,0.956,Silver
1765,adult,81,0.378,1502.68,22.4,0.743,Bronze
1766,young_adult,6,0.346,128.01,43.2,0.99,Bronze
1767,adult,113,0.305,1638.43,39.6,0.814,Silver
1768,middle_aged,196,0.951,3098.69,73.2,0.901,Bronze
1769,young_adult,3,0.877,154.08,59.1,0.774,Bronze
1770,adult,157,0.21,3022.72,42.5,0.909,Silver
1771,middle_aged,85,0.244,1224.31,89.0,0.949,Silver
1772,adult,110,0.251,1916.57,125.2,0.93,Silver
1773,adult,101,0.316,1534.95,49.8,0.785,Silver
1774,adult,85,0.249,1572.48,106.9,0.898,Silver
1775,middle_aged,155,0.201,1825.17,72.9,0.978,Gold
1776,middle_aged,106,0.287,1316.54,49.7,0.778,Silver
1777,adult,1,0.305,107.82,80.7,0.99,Silver
1778,adult,48,0.393,616.89,66.0,0.866,Silver
1779,middle_aged,179,0.193,2935.09,81.2,0.729,Silver
1780,adult,118,0.255,1692.17,59.4,0.701,Bronze
1781,adult,103,0.236,1564.46,89.2,0.757,Silver
1782,young_adult,51,0.321,978.77,73.8,0.989,Silver
1783,middle_aged,151,0.213,2315.39,54.2,0.747,Silver
1784,adult,66,0.341,586.34,129.6,0.799,Silver
1785,adult,56,0.331,523.43,79.7,0.841,Silver
1786,adult,99,0.293,1483.29,85.2,0.732,Silver
1787,adult,166,0.209,3140.8,18.5,0.822,Silver
1788,adult,162,0.262,2034.08,37.2,0.867,Silver
1789,adult,1,0.341,72.9,77.9,0.8,Bronze
1790,adult,135,0.177,1445.09,69.0,0.957,Silver
1791,adult,158,0.268,2370.63,53.4,0.773,Silver
1792,young_adult,58,0.315,717.88,84.3,0.812,Silver
1793,middle_aged,68,0.332,713.01,78.5,0.903,Silver
1794,adult,125,0.275,1227.1,79.1,0.749,Silver
1795,adult,118,0.267,1812.14,62.9,0.722,Silver
1796,adult,109,0.319,2079.27,81.6,0.748,Silver
1797,adult,155,0.349,2126.81,25.9,0.784,Silver
1798,young_adult,56,0.348,569.57,80.0,0.864,Silver
1799,young_adult,35,0.318,660.37,75.5,0.866,Bronze
1800,adult,183,0.934,3277.98,61.9,0.87,Bronze
1801,adult,1,0.375,117.78,83.4,0.836,Bronze
1802,middle_aged,130,0.286,1820.43,73.0,0.825,Silver
1803,adult,180,0.174,2164.07,113.8,0.746,Silver
1804,middle_aged,124,0.249,1677.94,76.4,0.777,Silver
1805,adult,47,0.347,678.03,77.3,0.819,Bronze
1806,middle_aged,104,0.319,960.67,59.7,0.81,Silver
1807,middle_aged,83,0.293,1347.16,38.4,0.995,Silver
1808,adult,157,0.227,1339.49,62.3,0.857,Silver
1809,adult,137,0.206,2186.79,67.2,0.844,Silver
1810,young_adult,44,0.279,603.22,134.1,0.879,Silver
1811,young_adult,3,0.348,72.3,72.0,0.871,Bronze
1812,adult,154,0.795,1925.34,133.0,0.714,Bronze
1813,adult,146,0.251,2754.15,57.6,0.752,Silver
1814,adult,138,0.213,2117.27,35.7,0.827,Silver
1815,adult,132,0.204,2281.07,180.0,0.904,Gold
1816,adult,109,0.273,975.82,93.8,0.832,Silver
1817,adult,183,0.2,2447.28,64.8,0.833,Silver
1818,adult,189,0.181,3273.84,31.1,0.97,Gold
1819,young_adult,18,0.908,214.74,40.6,0.809,Bronze
1820,adult,132,0.324,1661.63,42.7,0.714,Bronze
1821,young_adult,47,0.328,478.07,60.3,0.773,Bronze
1822,adult,145,0.286,2123.33,50.9,0.721,Silver
1823,young_adult,1,0.435,153.07,81.3,0.773,Bronze
1824,adult,117,0.221,1005.69,70.6,0.955,Silver
1825,adult,76,0.288,1460.94,85.2,0.849,Silver
1826,adult,180,0.942,3534.56,35.5,0.883,Bronze
1827,middle_aged,70,0.353,1065.02,58.9,0.788,Bronze
1828,adult,174,0.209,2477.57,48.6,0.837,Silver
1829,middle_aged,121,0.238,2307.96,74.3,0.828,Silver
1830,middle_aged,184,0.231,3433.44,38.2,0.854,Silver
1831,adult,180,0.196,1536.75,115.7,0.967,Gold
1832,young_adult,1,0.393,131.17,75.2,0.775,Bronze
1833,senior,1,0.327,106.41,80.4,0.936,Bronze
1834,adult,1,0.34,151.56,109.6,0.99,Silver
1835,middle_aged,174,0.96,2378.47,40.6,0.912,Bronze
1836,adult,74,0.271,870.91,67.7,0.895,Silver
1837,adult,50,0.343,707.64,33.1,0.91,Bronze
1838,middle_aged,169,0.169,2646.49,115.9,0.79,Silver
1839,middle_aged,153,0.251,2804.02,80.5,0.75,Silver
1840,young_adult,1,0.311,103.15,85.0,0.973,Silver
1841,adult,187,0.289,3079.11,35.3,0.747,Silver
1842,adult,115,0.251,2054.66,109.0,0.902,Silver
1843,young_adult,1,0.409,114.54,57.8,0.762,Bronze
1844,adult,69,0.27,1112.91,180.0,0.862,Silver
1845,adult,187,0.186,2554.72,58.0,0.974,Gold
1846,adult,112,0.211,1294.56,46.8,0.947,Silver
1847,young_adult,1,0.463,165.51,83.8,0.752,Bronze
1848,young_adult,18,0.385,299.08,66.5,0.859,Bronze
1849,adult,146,0.228,2790.35,63.8,0.943,Silver
1850,adult,171,0.196,2640.54,61.6,0.823,Silver
1851,adult,167,0.942,2490.98,44.5,0.843,Bronze
1852,adult,71,0.283,1316.92,72.0,0.936,Silver
1853,adult,132,0.297,1392.68,49.8,0.756,Silver
1854,adult,163,0.762,2178.86,50.7,0.898,Bronze
1855,adult,141,0.875,2230.07,83.8,0.824,Bronze
1856,adult,141,0.2,2731.34,68.6,0.772,Silver
1857,young_adult,29,0.384,542.52,62.5,0.796,Bronze
1858,young_adult,1,0.402,104.12,60.6,0.942,Bronze
1859,adult,1,0.377,114.43,57.3,0.81,Bronze
1860,adult,114,0.259,2248.88,50.6,0.871,Silver
1861,adult,86,0.251,1028.06,72.0,0.833,Silver
1862,adult,129,0.284,1290.81,21.1,0.907,Silver
1863,adult,122,0.236,1476.61,114.8,0.818,Silver
1864,adult,196,0.199,3477.84,94.0,0.745,Silver
1865,young_adult,1,0.32,86.08,98.3,0.932,Silver
1866,adult,177,0.184,2086.11,40.3,0.963,Gold
1867,adult,188,0.318,2139.61,27.6,0.707,Silver
1868,young_adult,9,0.36,82.83,65.5,0.875,Bronze
1869,middle_aged,164,0.172,2160.92,45.0,0.797,Silver
1870,adult,1,0.378,150.55,73.2,0.77,Bronze
1871,adult,116,0.3,1644.42,32.5,0.726,Bronze
1872,adult,104,0.317,1151.65,100.9,0.725,Silver
1873,adult,127,0.264,1182.08,50.0,0.858,Silver
1874,young_adult,8,0.425,122.41,68.6,0.877,Bronze
1875,adult,186,0.163,3465.46,74.2,0.928,Gold
1876,young_adult,66,0.35,976.82,119.6,0.765,Silver
1877,young_adult,51,0.353,857.06,54.4,0.734,Bronze
1878,adult,97,0.855,1110.18,48.5,0.848,Bronze
1879,adult,129,0.226,1431.91,47.4,0.838,Silver
1880,adult,97,0.308,1909.23,121.2,0.728,Silver
1881,adult,194,0.186,3567.02,176.7,0.884,Gold
1882,middle_aged,101,0.296,1831.02,85.0,0.879,Silver
1883,adult,9,0.803,153.32,45.7,0.848,Bronze
1884,adult,74,0.406,882.81,37.5,0.755,Bronze
1885,young_adult,1,0.36,126.21,53.6,0.908,Bronze
1886,adult,125,0.861,1529.72,61.9,0.955,Bronze
1887,adult,60,0.87,588.89,51.3,0.886,Bronze
1888,adult,154,0.217,2279.16,46.2,0.973,Silver
1889,adult,93,0.834,1230.27,41.8,0.908,Bronze
1890,adult,142,0.754,2459.06,79.8,0.769,Bronze
1891,young_adult,33,0.853,395.07,67.6,0.808,Bronze
1892,adult,143,0.217,2681.79,92.4,0.911,Silver
1893,senior,172,0.915,2252.54,150.7,0.882,Bronze
1894,adult,54,0.286,694.84,119.2,0.991,Silver
1895,adult,159,0.283,2955.62,38.4,0.76,Silver
1896,young_adult,1,0.744,155.46,60.7,0.998,Bronze
1897,young_adult,24,0.313,277.71,75.0,0.841,Bronze
1898,adult,182,0.197,3377.86,127.9,0.897,Gold
1899,adult,71,0.285,935.32,34.7,0.872,Silver
1900,adult,33,0.406,376.09,46.1,0.858,Bronze
1901,adult,27,0.414,406.61,31.0,0.846,Bronze
1902,middle_aged,196,0.143,2630.14,47.6,0.925,Silver
1903,middle_aged,88,0.265,1726.84,72.3,0.85,Silver
1904,middle_aged,192,0.244,3361.21,58.4,0.874,Silver
1905,middle_aged,140,0.211,1870.33,138.9,0.947,Gold
1906,adult,38,0.753,736.38,96.8,0.867,Bronze
1907,young_adult,62,0.312,1201.84,66.6,1.0,Silver
1908,young_adult,47,0.404,938.08,69.4,0.745,Bronze
1909,young_adult,15,0.33,226.48,61.1,0.898,Bronze
1910,adult,142,0.212,1363.53,131.8,0.913,Gold
1911,young_adult,21,0.792,369.38,153.6,0.967,Bronze
1912,adult,110,0.264,1257.04,75.0,0.82,Silver
1913,adult,138,0.281,2333.82,37.9,0.791,Silver
1914,young_adult,23,0.303,386.37,71.1,0.849,Bronze
1915,adult,176,0.232,1740.9,62.4,0.868,Silver
1916,adult,52,0.284,684.9,84.0,0.926,Silver
1917,young_adult,25,0.35,455.03,18.3,0.973,Bronze
1918,adult,90,0.218,1313.14,140.8,0.948,Silver
1919,adult,59,0.365,533.15,82.3,0.706,Bronze
1920,adult,57,0.319,1035.55,63.7,0.85,Silver
1921,young_adult,9,0.341,148.08,46.0,0.902,Bronze
1922,young_adult,24,0.296,389.8,130.5,0.94,Silver
1923,adult,165,0.205,2369.9,47.6,0.932,Silver
1924,young_adult,23,0.316,395.14,92.9,0.929,Silver
1925,adult,6,0.35,160.62,84.1,0.899,Bronze
1926,adult,81,0.286,1613.49,95.3,0.71,Bronze
1927,adult,154,0.255,2455.36,36.2,0.803,Silver
1928,adult,167,0.192,3308.21,47.9,0.872,Silver
1929,adult,145,0.236,1956.99,111.8,0.741,Silver
1930,adult,107,0.253,1934.38,46.0,0.969,Silver
1931,young_adult,38,0.333,683.33,17.9,0.915,Bronze
1932,middle_aged,160,0.241,1736.12,88.1,0.969,Gold
1933,adult,74,0.27,808.17,48.1,0.943,Silver
1934,adult,75,0.307,826.49,49.9,0.781,Bronze
1935,adult,53,0.291,995.18,43.4,0.862,Bronze
1936,adult,48,0.321,678.19,58.5,0.729,Bronze
1937,adult,143,0.237,2570.42,64.4,0.744,Silver
1938,adult,102,0.281,1484.2,55.0,0.988,Silver
1939,adult,164,0.264,1792.37,34.9,0.765,Silver
1940,middle_aged,127,0.273,2217.78,54.5,0.939,Silver
1941,adult,162,0.223,2806.69,97.9,0.891,Silver
1942,adult,170,0.188,2282.84,57.4,0.904,Silver
1943,young_adult,35,0.345,486.56,80.7,0.744,Bronze
1944,adult,49,0.334,544.89,67.4,0.996,Silver
1945,adult,1,0.388,112.79,81.7,0.923,Bronze
1946,middle_aged,184,0.724,3367.2,61.3,0.745,Bronze
1947,adult,184,0.204,2390.34,67.7,0.805,Silver
1948,middle_aged,44,0.362,869.72,73.8,0.764,Bronze
1949,adult,126,0.265,2114.28,75.3,0.829,Silver
1950,middle_aged,170,0.223,2535.15,78.1,0.932,Gold
1951,adult,125,0.166,2193.66,64.0,0.938,Silver
1952,adult,95,0.932,1628.22,104.2,0.786,Bronze
1953,adult,189,0.196,2563.88,85.3,0.77,Silver
1954,adult,98,0.959,1325.21,138.0,0.8,Bronze
1955,adult,85,0.327,1213.65,33.7,0.926,Silver
1956,adult,1,0.367,87.67,115.7,0.712,Bronze
1957,adult,119,0.195,1374.45,114.2,0.892,Silver
1958,adult,43,0.381,416.0,84.4,0.756,Bronze
1959,adult,168,0.208,1989.7,159.6,0.826,Gold
1960,young_adult,1,0.395,161.59,78.1,0.829,Bronze
1961,adult,176,0.214,2658.9,109.9,0.771,Silver
1962,adult,140,0.249,2458.4,62.8,0.713,Silver
1963,adult,142,0.235,1209.07,63.2,0.898,Silver
1964,adult,160,0.249,2314.33,52.4,0.758,Silver
1965,adult,174,0.914,1588.65,72.7,0.812,Bronze
1966,adult,18,0.383,334.56,93.5,0.812,Bronze
