AddressKey,AddressID,Street,PostalCode,Latitude,Longitude,Timezone,CityKey
2084,84,3229 Elm Way,19171,40.1576,-96.8326,America/New_York,39
2085,85,5144 River Ave,49363,39.3037,-98.953,America/New_York,68
2086,86,6692 Elm Way,48752,38.7884,-99.0026,America/New_York,69
2087,87,3144 Washington Way,98777,39.4383,-98.0771,America/New_York,30
2088,88,9325 Pine Way,81819,39.7214,-97.6883,America/New_York,14
2089,89,4701 Cedar Way,86019,36.7887,-118.2551,America/New_York,70
2090,90,5280 Lake Ct,67954,39.2883,-96.1739,America/New_York,60
2091,91,8376 Lake Blvd,96356,40.0005,-99.0357,America/New_York,71
2092,92,8446 River Ln,22240,41.309,-74.5621,America/New_York,72
2093,93,5086 Cedar Dr,29313,39.3212,-97.7788,America/New_York,59
2094,94,4012 Lake Ave,69692,37.1569,-119.4762,America/New_York,29
2095,95,9432 Cedar Way,74799,38.8226,-99.5619,America/New_York,44
2096,96,2418 River St,23970,39.1428,-97.6649,America/New_York,73
2097,97,2882 Hill Ct,16582,39.6713,-99.3466,America/New_York,74
2098,98,1989 Lake Blvd,70901,39.6385,-98.0417,America/New_York,30
2099,99,9158 Park Ln,68008,38.7929,-98.227,America/New_York,75
2100,100,8271 Washington Pl,68446,39.5466,-99.2644,America/New_York,60
2101,101,7778 Lake Rd,42406,39.7862,-97.9014,America/New_York,76
2102,102,8541 Lake Dr,45992,40.3664,-97.507,America/New_York,33
2103,103,4682 Cedar Rd,54020,38.3979,-99.1003,America/New_York,77
2104,104,1321 Maple Blvd,40311,39.912,-97.939,America/New_York,78
2105,105,2504 Cedar Ave,64377,39.912,-95.2678,America/New_York,79
2106,106,8891 Lake Way,18161,39.9567,-97.4415,America/New_York,38
2107,107,6382 Park St,85456,40.2632,-97.8289,America/New_York,80
2108,108,97 Elm Rd,61116,39.2478,-97.7428,America/New_York,81
2109,109,8948 Park Dr,73993,38.8817,-98.5395,America/New_York,22
2110,110,7141 Lake St,60968,39.1117,-98.2845,America/New_York,50
2111,111,6625 Maple Ct,26728,41.3517,-99.8438,America/New_York,82
2112,112,442 Washington St,21003,40.049,-99.6402,America/New_York,83
2113,113,2224 Lake Blvd,16590,39.1225,-97.4788,America/New_York,18
2114,114,5364 Cedar Ct,52840,39.5514,-99.2122,America/New_York,84
2115,115,4559 Washington Rd,20735,38.9278,-97.8063,America/New_York,85
2116,116,8838 Main Ln,39389,38.9157,-98.1768,America/New_York,86
2117,117,660 Main Dr,36130,39.5365,-98.8713,America/New_York,1
2118,118,2497 Cedar Blvd,72070,38.4935,-118.9108,America/New_York,87
2119,119,9241 Cedar Ct,43586,37.8799,-98.2008,America/New_York,52
2120,120,9927 Park Ave,31465,38.9706,-97.6681,America/New_York,88
2121,121,9482 Main Rd,85470,38.866,-98.4418,America/New_York,89
2122,122,6499 Cedar Ave,87607,39.904,-97.6574,America/New_York,90
2123,123,3979 Oak Rd,99687,38.5398,-98.6176,America/New_York,5
2124,124,9273 Main Ln,79827,39.12,-98.8727,America/New_York,91
2125,125,6072 Oak Pl,94874,40.9124,-98.026,America/New_York,44
2126,126,6883 Lake Ave,66822,38.4913,-97.6157,America/New_York,35
2127,127,7533 Maple Way,33086,41.1977,-97.524,America/New_York,92
2128,128,4426 Park Pl,73372,38.2845,-98.7374,America/New_York,19
2129,129,9708 Pine Ln,42177,40.5135,-98.9161,America/New_York,93
2130,130,7386 Cedar Ct,84691,42.5208,-74.3284,America/New_York,72
2131,131,6210 Elm St,74789,38.7585,-98.3976,America/New_York,60
2132,132,7989 Cedar Ln,43862,36.907,-99.1695,America/New_York,94
2133,133,9768 Pine Pl,11330,39.2979,-99.3482,America/New_York,64
2134,134,1403 Cedar Way,74038,40.8059,-99.4941,America/New_York,26
2135,135,7801 River Ct,68743,39.148,-98.2454,America/New_York,30
2136,136,4821 Cedar Way,41890,37.9313,-120.5666,America/New_York,29
2137,137,9529 Elm Ct,82544,40.4305,-98.3418,America/New_York,95
2138,138,6972 Hill Ln,56112,38.7148,-97.9803,America/New_York,69
2139,139,4439 Pine Rd,40217,39.6592,-98.8302,America/New_York,96
2140,140,3156 Elm Ave,80236,28.0502,-82.0686,America/New_York,97
2141,141,3139 Cedar Ct,46241,39.5908,-97.8203,America/New_York,98
2142,142,8596 Park Rd,23176,40.7688,-99.3403,America/New_York,19
2143,143,3728 Elm Blvd,49618,41.2064,-99.9117,America/New_York,45
2144,144,8752 Maple Rd,15965,36.6569,-118.9472,America/New_York,99
2145,145,4787 Maple Ct,23446,32.1934,-100.4,America/New_York,100
2146,146,4659 Lake Ct,67733,36.6118,-119.8123,America/New_York,87
2147,147,842 Pine Ct,24953,39.0285,-97.6703,America/New_York,94
2148,148,8057 Oak St,29887,42.4513,-75.5024,America/New_York,42
2149,149,4979 Oak Dr,25525,41.0692,-88.7403,America/New_York,101
2150,150,9934 Park Dr,78494,40.1503,-97.8463,America/New_York,102
2151,151,7254 Pine Way,50026,38.8368,-98.7981,America/New_York,81
2152,152,987 Park Ave,37235,40.0978,-97.8617,America/New_York,57
2153,153,4336 River Ave,30585,39.4833,-98.2561,America/New_York,103
2154,154,9044 Oak Blvd,10350,40.5221,-98.8233,America/New_York,34
2155,155,9730 Lake Rd,14278,39.9377,-98.5118,America/New_York,104
2156,156,4633 Lake Ave,40595,39.3259,-97.471,America/New_York,50
2157,157,9664 River Dr,65723,40.1603,-97.6992,America/New_York,105
2158,158,3684 River Blvd,44816,29.0388,-81.7435,America/New_York,48
2159,159,978 Maple Rd,87993,40.8951,-89.2343,America/New_York,106
2160,160,4729 Lake Ave,71433,39.7593,-98.4541,America/New_York,19
2161,161,6595 Pine Pl,80776,39.5776,-97.8739,America/New_York,51
2162,162,1318 Park St,66626,38.8454,-96.6761,America/New_York,37
2163,163,9892 Pine St,21970,38.6952,-99.3214,America/New_York,46
2164,164,9425 Park St,98117,40.4265,-97.7167,America/New_York,59
2165,165,660 Maple Ct,78021,39.9993,-97.8473,America/New_York,107
2166,166,4558 Maple Way,93202,39.4902,-99.0678,America/New_York,18
2167,167,7701 Elm Way,53687,39.5606,-98.8917,America/New_York,86
2168,168,1714 Maple Ln,63955,40.2801,-98.4676,America/New_York,82
2169,169,4723 River Way,82102,38.8396,-98.6071,America/New_York,96
2170,170,1443 Elm Rd,52372,32.2989,-100.3528,America/New_York,62
2171,171,8432 Main Pl,70552,27.3366,-81.5654,America/New_York,12
2172,172,3074 Hill Ln,91609,39.696,-98.7556,America/New_York,61
2173,173,7243 Main Dr,45003,39.1232,-98.1644,America/New_York,108
2174,174,4720 Lake Ct,25915,38.3415,-99.476,America/New_York,30
2175,175,9976 Cedar Blvd,50730,36.2035,-119.5887,America/New_York,99
2176,176,9049 Washington Ave,39451,39.7487,-97.1697,America/New_York,43
2177,177,1925 River Blvd,75323,28.6805,-81.8883,America/New_York,12
2178,178,8338 Pine Way,73242,39.4848,-99.152,America/New_York,51
2179,179,7484 Hill Blvd,60277,39.4852,-98.5809,America/New_York,36
2180,180,8328 Maple Ave,46208,39.7582,-99.0118,America/New_York,17
2181,181,8319 Pine St,47072,39.9155,-97.1238,America/New_York,38
2182,182,9617 Park Ct,29476,39.413,-98.0286,America/New_York,46
2183,183,7936 Elm Ln,82340,40.0521,-98.671,America/New_York,23
2184,184,7461 Elm Dr,41300,39.6793,-98.3399,America/New_York,102
2185,185,3827 Washington St,51704,39.5781,-98.9684,America/New_York,3
2186,186,6247 Washington Blvd,74923,39.5196,-97.9516,America/New_York,9
2187,187,8230 Park Ln,23154,33.1295,-99.1344,America/New_York,109
2188,188,8618 Lake St,28894,41.2225,-98.9639,America/New_York,77
2189,189,2530 Oak Ct,44737,40.1979,-98.2033,America/New_York,44
2190,190,6513 River Ave,53065,41.2518,-98.9966,America/New_York,78
2191,191,6227 Elm Ct,80912,38.8282,-98.8295,America/New_York,75
2192,192,1122 Cedar Rd,39817,30.2695,-100.3224,America/New_York,100
2193,193,7111 Oak Ave,68153,38.8927,-98.2297,America/New_York,24
2194,194,4907 Main St,52516,39.7734,-96.8491,America/New_York,76
2195,195,5874 Elm Way,29080,32.7289,-100.3633,America/New_York,110
2196,196,6752 Park Blvd,32280,38.7813,-97.9565,America/New_York,4
2197,197,9986 Washington Dr,75230,38.4438,-96.8848,America/New_York,111
2198,198,3805 Lake Rd,70236,40.4436,-98.7253,America/New_York,112
2199,199,154 Lake Rd,98815,38.1295,-97.2669,America/New_York,105
2200,200,1211 Lake Ln,87014,39.4084,-97.3597,America/New_York,30
2201,201,6952 Pine Ct,49599,38.2245,-98.8295,America/New_York,95
2202,202,7917 Oak Dr,59986,39.5042,-98.3124,America/New_York,80
2203,203,9418 Pine Rd,12875,39.1399,-97.8517,America/New_York,6
2204,204,4498 Main St,89482,38.6459,-98.4639,America/New_York,90
2205,205,4690 Cedar Ln,38705,39.5962,-97.9384,America/New_York,9
2206,206,4107 River Blvd,92345,40.0693,-99.2497,America/New_York,103
2207,207,646 Pine Ct,14373,26.7671,-80.7382,America/New_York,97
2208,208,2154 Oak Rd,52823,39.7659,-98.9488,America/New_York,6
2209,209,2878 Cedar Blvd,80701,40.7409,-98.2575,America/New_York,9
2210,210,8222 Pine Blvd,43681,40.4434,-98.296,America/New_York,113
2211,211,5550 Oak Ct,19869,41.1486,-96.9457,America/New_York,54
2212,212,6512 Hill Ln,21836,40.1503,-88.2088,America/New_York,114
2213,213,4333 Hill Ave,69609,40.0163,-97.2551,America/New_York,8
2214,214,4296 Park Way,93695,38.7281,-97.8012,America/New_York,92
2215,215,3831 Lake St,91205,40.3467,-99.757,America/New_York,115
2216,216,9996 Cedar Ave,93283,38.5534,-99.9814,America/New_York,10
2217,217,4952 River Way,25292,39.2845,-97.776,America/New_York,116
2218,218,610 Pine Ct,25220,41.5514,-88.9268,America/New_York,106
2219,219,8808 Maple Way,69459,29.2973,-82.8644,America/New_York,40
2220,220,8851 Washington Blvd,64379,38.1373,-98.3944,America/New_York,92
2221,221,8018 Park Way,46666,39.8073,-98.3762,America/New_York,1
2222,222,6071 Cedar Ct,68287,30.3146,-99.9731,America/New_York,11
2223,223,1628 River Ln,81364,38.4564,-97.8143,America/New_York,50
2224,224,993 Washington Rd,34878,39.7933,-99.1019,America/New_York,33
2225,225,1502 River Dr,94109,27.5833,-82.6077,America/New_York,12
2226,226,350 Main Ln,41925,39.4499,-97.5859,America/New_York,117
2227,227,3363 Oak Pl,37152,39.5609,-88.5829,America/New_York,101
2228,228,3818 Elm Blvd,88116,39.0758,-98.9843,America/New_York,112
2229,229,2371 Maple Pl,42853,36.6927,-120.2461,America/New_York,70
2230,230,423 Maple St,56955,39.0571,-99.3083,America/New_York,111
2231,231,5305 Main Blvd,44782,41.0718,-98.3218,America/New_York,4
2232,232,6898 Hill Ave,18330,31.4088,-99.7306,America/New_York,109
2233,233,5932 Hill Ave,69245,39.4101,-98.5268,America/New_York,37
2234,234,711 River Pl,49535,39.9913,-97.744,America/New_York,26
2235,235,511 Main Ct,62640,39.0756,-98.8107,America/New_York,116
2236,236,1769 Lake Ct,19632,39.28,-100.1915,America/New_York,44
2237,237,9967 Maple Ave,26540,40.9535,-73.8546,America/New_York,72
2238,238,9591 Hill Ln,59925,40.816,-98.5492,America/New_York,107
2239,239,4832 Lake Pl,89354,39.9612,-98.101,America/New_York,83
2240,240,1875 River Pl,38183,41.9631,-97.4543,America/New_York,61
2241,241,3744 Washington Ln,69441,39.3977,-99.1144,America/New_York,104
2242,242,1558 Elm Way,50963,38.2148,-98.1872,America/New_York,81
2243,243,6133 Maple Ct,18799,38.8949,-99.4878,America/New_York,68
2244,244,1528 Washington Ave,58843,41.6484,-75.8133,America/New_York,21
2245,245,983 Park Pl,83620,41.6992,-88.2808,America/New_York,101
2246,246,2003 Washington Ln,97207,39.4936,-97.166,America/New_York,82
2247,247,843 Pine Rd,56090,39.5619,-99.039,America/New_York,44
2248,248,8314 Cedar Blvd,96079,29.2129,-81.3292,America/New_York,48
2249,249,1774 Elm Pl,58176,38.6702,-98.5023,America/New_York,36
2250,250,9407 Cedar Way,83526,27.2939,-82.8665,America/New_York,118
2251,251,9122 Main Rd,13794,40.2409,-96.8225,America/New_York,83
2252,252,5063 Elm Ln,10800,38.3811,-97.8996,America/New_York,31
2253,253,9279 River Way,19120,38.9795,-98.7397,America/New_York,119
2254,254,503 Oak Pl,38197,39.8756,-89.6773,America/New_York,2
2255,255,7433 Elm Blvd,58503,39.5388,-99.0148,America/New_York,81
2256,256,5315 Park Ave,16895,39.7164,-98.3902,America/New_York,95
2257,257,816 River Ave,45665,40.1583,-89.7122,America/New_York,114
2258,258,6948 Lake Ct,64287,39.0386,-97.7457,America/New_York,116
2259,259,8395 Oak Ln,66349,39.9007,-99.132,America/New_York,7
2260,260,9718 Lake Pl,97442,28.0739,-81.1592,America/New_York,118
2261,261,3613 Washington St,11007,38.1645,-97.9153,America/New_York,89
2262,262,3461 Maple Rd,47938,38.9699,-97.8935,America/New_York,45
2263,263,127 Lake Way,33028,38.8894,-99.7939,America/New_York,35
2264,264,8726 Cedar Pl,83233,39.0475,-88.9476,America/New_York,41
2265,265,1181 Washington St,67176,39.7078,-99.0735,America/New_York,68
2266,266,1276 Elm Way,85156,37.2892,-120.7471,America/New_York,49
2267,267,6844 Pine Ave,63088,39.4471,-99.3188,America/New_York,79
2268,268,2816 Park Ct,57428,36.2568,-119.38,America/New_York,70
2269,269,1735 Cedar Way,87184,41.4774,-75.2557,America/New_York,42
2270,270,1289 Washington Rd,54500,40.305,-98.8115,America/New_York,120
2271,271,2755 Oak Pl,92998,40.1686,-99.2538,America/New_York,50
2272,272,8356 Cedar Ln,56019,28.4182,-80.607,America/New_York,48
2273,273,2420 Cedar Ave,29194,37.5227,-98.9875,America/New_York,121
2274,274,2843 Park Blvd,95918,39.9617,-98.5124,America/New_York,7
2275,275,8096 Lake Ct,99277,42.4626,-75.4313,America/New_York,122
2276,276,5296 River Ln,29786,39.5693,-98.4745,America/New_York,123
2277,277,7683 Lake Rd,46002,40.4342,-98.1465,America/New_York,77
2278,278,5767 Hill Ave,50685,39.7701,-98.6795,America/New_York,124
2279,279,617 Main Ln,47627,39.1099,-98.696,America/New_York,93
2280,280,1480 Park Pl,60394,42.4813,-75.2849,America/New_York,125
2281,281,9082 Main Ct,84928,39.7318,-96.6897,America/New_York,23
2282,282,5268 Park Ct,75715,40.1969,-98.6108,America/New_York,103
2283,283,7382 Oak Ln,21053,41.3105,-89.3126,America/New_York,106
2284,284,2828 Main Dr,67377,37.8695,-99.1565,America/New_York,126
2285,285,8565 Park Blvd,57696,38.0034,-98.6312,America/New_York,23
2286,286,6348 Washington Ln,98984,39.5147,-97.0089,America/New_York,13
2287,287,5483 Oak Ln,22387,39.7615,-98.5253,America/New_York,91
2288,288,6334 Pine Rd,96057,40.1635,-100.1189,America/New_York,32
2289,289,5462 Oak Blvd,55851,39.6885,-97.7333,America/New_York,127
2290,290,6422 Maple Ave,50577,38.3171,-97.435,America/New_York,95
2291,291,5382 Maple Pl,22249,39.7708,-98.6822,America/New_York,102
2292,292,6938 Hill Ln,12389,40.0062,-96.5334,America/New_York,15
2293,293,2954 Cedar Ln,73736,39.6455,-98.1514,America/New_York,13
2294,294,2254 Maple Ave,48770,39.1325,-99.0299,America/New_York,128
2295,295,8844 Hill St,96760,28.6587,-82.4452,America/New_York,48
2296,296,2148 Park Way,30218,39.5573,-98.7321,America/New_York,78
2297,297,2713 Lake St,63852,39.8832,-98.0831,America/New_York,119
2298,298,3892 Lake Rd,68841,40.33,-98.758,America/New_York,92
2299,299,3919 Pine Ct,35430,39.2841,-99.133,America/New_York,4
2300,300,9346 Lake Ct,46932,39.1446,-98.0482,America/New_York,92
2301,301,8642 Washington Blvd,36174,40.1056,-99.0877,America/New_York,120
2302,302,4097 Main Ct,58655,40.1957,-97.2655,America/New_York,127
2303,303,8453 Oak Rd,20993,39.8307,-96.8486,America/New_York,43
2304,304,7362 Hill Blvd,67340,38.881,-99.3457,America/New_York,31
2305,305,7392 Elm St,64381,40.7427,-73.7513,America/New_York,122
2306,306,8225 Elm Dr,60615,32.4921,-99.9463,America/New_York,62
2307,307,3679 Main Ln,22987,42.3897,-75.8485,America/New_York,72
2308,308,5494 Maple Blvd,15020,41.4566,-98.2466,America/New_York,5
2309,309,2274 Lake Ct,90654,39.5875,-97.7694,America/New_York,25
2310,310,312 Pine Dr,29597,37.1631,-119.2388,America/New_York,29
2311,311,9976 Hill Way,24573,38.8676,-97.9728,America/New_York,32
2312,312,4935 Oak St,41252,41.0056,-97.2737,America/New_York,63
2313,313,7490 Oak Ave,75513,40.7745,-98.759,America/New_York,44
2314,314,270 River Pl,85372,38.7083,-98.4506,America/New_York,83
2315,315,2353 Pine Way,10205,39.5446,-97.4746,America/New_York,59
2316,316,3942 Park Way,34551,38.146,-97.1264,America/New_York,129
2317,317,1403 Hill Ln,18870,39.3736,-98.6915,America/New_York,39
2318,318,8313 Hill Pl,12665,38.6903,-99.6739,America/New_York,27
2319,319,714 River Way,58929,40.1585,-98.2913,America/New_York,81
2320,320,267 Elm Ave,55193,38.468,-99.3861,America/New_York,105
2321,321,1699 Park Ln,27486,39.2314,-97.0148,America/New_York,59
2322,322,8946 Elm Blvd,99742,31.7609,-101.1043,America/New_York,110
2323,323,7841 River Blvd,27675,39.3034,-98.5682,America/New_York,116
2324,324,7499 Main Rd,36422,40.0082,-74.9915,America/New_York,125
2325,325,687 Elm Rd,77552,31.7839,-99.3448,America/New_York,109
2326,326,7757 Pine St,94790,40.9792,-97.4487,America/New_York,120
2327,327,5849 Main Ln,45811,39.2849,-99.2352,America/New_York,45
2328,328,7160 Washington Ct,60678,30.0531,-81.7129,America/New_York,118
2329,329,8130 Lake Ln,78062,39.5111,-98.3693,America/New_York,94
2330,330,6956 Oak Way,88964,39.6585,-98.4655,America/New_York,130
2331,331,4814 Elm Ave,20494,39.0411,-98.7875,America/New_York,131
2332,332,4844 Pine Ct,88986,39.4738,-98.7847,America/New_York,82
2333,333,2731 Lake Ln,68606,38.9297,-98.2649,America/New_York,96
2334,334,5777 Park Way,45986,31.7646,-98.6986,America/New_York,11
2335,335,1230 River Way,57619,37.3792,-97.4768,America/New_York,1
2336,336,2622 Main Blvd,89635,40.4969,-100.0087,America/New_York,126
2337,337,571 Maple Ave,40932,39.2258,-98.6472,America/New_York,90
2338,338,5934 Washington St,89310,38.374,-98.9723,America/New_York,33
2339,339,7372 Elm Ln,68188,39.461,-87.5843,America/New_York,2
2340,340,2256 Hill Ln,62171,42.9142,-73.9309,America/New_York,47
2341,341,4567 Cedar Ave,13396,40.0773,-99.2532,America/New_York,82
2342,342,8177 Hill Way,83619,39.0804,-97.9585,America/New_York,14
2343,343,4265 Lake Dr,90199,27.0167,-81.1899,America/New_York,118
2344,344,8048 Cedar Ave,27790,39.3077,-98.6499,America/New_York,95
2345,345,2829 Lake Ave,99381,42.7345,-74.5927,America/New_York,42
2346,346,5693 Oak Pl,81063,39.2112,-97.4225,America/New_York,82
2347,347,2581 River Blvd,57381,38.6351,-97.8573,America/New_York,58
2348,348,1989 Cedar Blvd,41029,39.9745,-98.5976,America/New_York,26
2349,349,5913 Hill Ln,71263,39.7609,-99.3509,America/New_York,86
2350,350,1413 Oak Rd,62187,40.2392,-98.4979,America/New_York,30
2351,351,7843 Hill Way,63665,39.0818,-97.5108,America/New_York,5
2352,352,2054 Elm Ave,68979,38.9365,-99.4768,America/New_York,124
2353,353,8477 Elm Blvd,82260,38.2547,-97.8652,America/New_York,116
2354,354,2982 Maple Way,75911,38.4757,-96.9462,America/New_York,117
2355,355,8489 Maple Rd,31581,30.3031,-98.5446,America/New_York,55
2356,356,3695 Elm Pl,47230,39.6688,-98.4274,America/New_York,31
2357,357,3217 River Pl,45972,41.7298,-74.6288,America/New_York,72
2358,358,4962 Park Pl,22245,40.3194,-88.1035,America/New_York,2
2359,359,2763 Park Blvd,32439,39.5914,-98.2298,America/New_York,126
2360,360,9915 Elm St,13718,39.2091,-98.3956,America/New_York,75
2361,361,9450 Pine Dr,84991,42.4119,-76.3162,America/New_York,21
2362,362,497 Lake Pl,47967,38.4215,-97.7554,America/New_York,22
2363,363,7913 Cedar Way,48985,39.6367,-98.4972,America/New_York,33
2364,364,982 Maple Ct,64476,39.5147,-98.0719,America/New_York,77
2365,365,3343 Elm Blvd,50970,39.0682,-98.9726,America/New_York,37
2366,366,5659 Washington Blvd,58567,39.6567,-99.1327,America/New_York,51
2367,367,1740 Elm Dr,71141,39.8266,-99.7121,America/New_York,27
2368,368,7367 Cedar Blvd,22689,28.8177,-81.3822,America/New_York,118
2369,369,6294 Park Way,42541,32.1734,-99.1156,America/New_York,110
2370,370,9465 Elm Dr,30885,40.8324,-97.5385,America/New_York,31
2371,371,7649 Lake Rd,75191,38.0273,-99.3737,America/New_York,132
2372,372,6443 Hill Ct,41552,36.2784,-119.397,America/New_York,29
2373,373,5782 Main St,46877,39.9141,-98.9306,America/New_York,17
2374,374,7711 Pine Pl,11071,39.6494,-98.9543,America/New_York,132
2375,375,2195 Pine Ln,62855,27.5052,-82.8856,America/New_York,12
2376,376,6564 Main Pl,35513,38.7614,-99.4313,America/New_York,115
2377,377,4729 Oak Way,76093,38.7193,-97.5071,America/New_York,113
2378,378,4583 Park Ave,26864,38.7405,-96.2441,America/New_York,23
2379,379,6115 Elm Pl,57920,28.3891,-81.6124,America/New_York,12
2380,380,9871 Hill Way,75546,39.6628,-88.4259,America/New_York,114
2381,381,638 Maple Ln,72094,31.5081,-99.8042,America/New_York,55
2382,382,2441 Park Pl,28321,41.5481,-98.4268,America/New_York,65
2383,383,5219 Maple Way,90805,40.4194,-98.9125,America/New_York,78
