PaymentMethodKey,CardID,CustomerKey,CardNetwork,CardSubtype,CardExpiryDate,IssuingCountry,IsActive
1537,37,1526,Visa,credit,2028-09-01,US,1
1538,38,1527,American Express,credit,2031-03-01,US,1
1539,39,1528,Visa,credit,2029-04-01,US,1
1540,40,1529,Visa,credit,2028-04-01,US,1
1541,41,1529,Mastercard,credit,2030-02-01,US,1
1542,42,1530,Visa,credit,2028-02-01,US,1
1543,43,1531,Mastercard,credit,2029-07-01,US,1
1544,44,1532,JCB,credit,2027-05-01,US,1
1545,45,1533,PayPal,digital_wallet,,US,1
1546,46,1534,Debit Card,debit,2028-01-01,US,1
1547,47,1535,Visa,credit,2029-07-01,US,1
1548,48,1536,PayPal,digital_wallet,,US,1
1549,49,1537,Visa,credit,2030-01-01,US,1
1550,50,1538,Visa,credit,2029-07-01,US,1
1551,51,1539,JCB,credit,2029-03-01,US,1
1552,52,1540,Mastercard,credit,2029-01-01,US,1
1553,53,1541,Mastercard,credit,2027-11-01,US,1
1554,54,1542,PayPal,digital_wallet,,US,1
1555,55,1543,Visa,credit,2028-08-01,US,1
1556,56,1544,Visa,credit,2028-11-01,US,1
1557,57,1545,Mastercard,credit,2030-05-01,US,1
1558,58,1546,Mastercard,credit,2029-09-01,US,1
1559,59,1546,Mastercard,credit,2027-07-01,US,0
1560,60,1547,American Express,credit,2029-08-01,US,1
1561,61,1547,Mastercard,credit,2028-12-01,US,1
1562,62,1548,Visa,credit,2028-08-01,US,1
1563,63,1549,Mastercard,credit,2029-12-01,US,1
1564,64,1549,PayPal,digital_wallet,,US,1
1565,65,1550,PayPal,digital_wallet,,US,1
1566,66,1550,Mastercard,credit,2030-05-01,US,1
1567,67,1551,Mastercard,credit,2030-04-01,US,1
1568,68,1551,Visa,credit,2028-06-01,US,1
1569,69,1552,Visa,credit,2029-01-01,US,1
1570,70,1552,Visa,credit,2029-08-01,US,1
1571,71,1553,Visa,credit,2030-04-01,US,1
1572,72,1554,Visa,credit,2028-11-01,US,1
1573,73,1555,PayPal,digital_wallet,,US,1
1574,74,1556,Visa,credit,2029-02-01,US,1
1575,75,1557,JCB,credit,2028-03-01,US,1
1576,76,1557,Discover,credit,2028-02-01,US,1
1577,77,1558,Visa,credit,2030-02-01,US,1
1578,78,1559,Visa,credit,2030-09-01,US,1
1579,79,1559,Mastercard,credit,2029-04-01,US,1
1580,80,1560,PayPal,digital_wallet,,US,1
1581,81,1560,Visa,credit,2030-05-01,US,1
1582,82,1560,Visa,credit,2029-09-01,US,1
1583,83,1561,PayPal,digital_wallet,,US,1
1584,84,1561,Visa,credit,2028-09-01,US,1
1585,85,1562,Visa,credit,2029-09-01,US,1
1586,86,1562,Visa,credit,2030-11-01,US,1
1587,87,1563,Visa,credit,2029-04-01,US,1
1588,88,1564,Discover,credit,2030-11-01,US,1
1589,89,1565,Mastercard,credit,2026-09-01,US,1
1590,90,1566,PayPal,digital_wallet,,US,1
1591,91,1566,Visa,credit,2030-02-01,US,1
1592,92,1567,Visa,credit,2029-06-01,US,1
1593,93,1568,JCB,credit,2029-01-01,US,1
1594,94,1569,Visa,credit,2029-06-01,US,1
1595,95,1570,Debit Card,debit,2027-05-01,US,1
1596,96,1571,Visa,credit,2029-02-01,US,1
1597,97,1572,PayPal,digital_wallet,,US,1
1598,98,1573,JCB,credit,2029-09-01,US,1
1599,99,1574,Visa,credit,2030-10-01,US,1
1600,100,1574,Visa,credit,2028-10-01,US,1
1601,101,1575,Debit Card,debit,2028-07-01,US,1
1602,102,1575,Visa,credit,2028-10-01,US,1
1603,103,1576,American Express,credit,2030-03-01,US,1
1604,104,1577,Discover,credit,2029-08-01,US,1
1605,105,1578,Discover,credit,2028-10-01,US,1
1606,106,1579,Visa,credit,2029-11-01,US,1
1607,107,1579,American Express,credit,2029-06-01,US,1
1608,108,1579,Mastercard,credit,2030-04-01,US,1
1609,109,1580,Visa,credit,2028-08-01,US,1
1610,110,1581,Mastercard,credit,2029-01-01,US,1
1611,111,1581,Visa,credit,2028-12-01,US,1
1612,112,1582,Visa,credit,2027-11-01,US,1
1613,113,1583,Visa,credit,2029-08-01,US,1
1614,114,1584,PayPal,digital_wallet,,US,1
1615,115,1585,PayPal,digital_wallet,,US,1
1616,116,1586,Mastercard,credit,2029-08-01,US,1
1617,117,1587,Visa,credit,2029-05-01,US,1
1618,118,1588,Visa,credit,2029-02-01,US,1
1619,119,1589,Mastercard,credit,2027-12-01,US,1
1620,120,1590,PayPal,digital_wallet,,US,1
1621,121,1591,Visa,credit,2028-11-01,US,1
1622,122,1592,Visa,credit,2028-12-01,US,1
1623,123,1593,Mastercard,credit,2028-07-01,US,1
1624,124,1593,Debit Card,debit,2029-03-01,US,1
1625,125,1593,Visa,credit,2029-09-01,US,1
1626,126,1594,Visa,credit,2031-03-01,US,1
1627,127,1595,American Express,credit,2029-07-01,US,1
1628,128,1596,American Express,credit,2029-08-01,US,1
1629,129,1597,Mastercard,credit,2029-04-01,US,0
1630,130,1598,Mastercard,credit,2027-05-01,US,1
1631,131,1598,Mastercard,credit,2029-04-01,US,1
1632,132,1599,Visa,credit,2029-05-01,US,1
1633,133,1600,American Express,credit,2031-10-01,US,1
1634,134,1601,Visa,credit,2029-02-01,US,1
1635,135,1602,Debit Card,debit,2029-08-01,US,1
1636,136,1603,PayPal,digital_wallet,,US,1
1637,137,1604,Visa,credit,2029-04-01,US,1
1638,138,1604,Mastercard,credit,2028-02-01,US,1
1639,139,1605,Debit Card,debit,2030-06-01,US,1
1640,140,1606,Visa,credit,2030-02-01,US,1
1641,141,1606,Visa,credit,2030-02-01,US,1
1642,142,1607,Mastercard,credit,2028-06-01,US,1
1643,143,1607,Visa,credit,2030-09-01,US,1
1644,144,1608,PayPal,digital_wallet,,US,1
1645,145,1609,Visa,credit,2027-12-01,US,1
1646,146,1610,Mastercard,credit,2029-12-01,US,1
1647,147,1610,PayPal,digital_wallet,,US,1
1648,148,1610,Visa,credit,2031-07-01,US,1
1649,149,1611,Visa,credit,2028-05-01,US,1
1650,150,1612,Visa,credit,2028-10-01,US,1
1651,151,1613,Mastercard,credit,2029-06-01,US,1
1652,152,1613,PayPal,digital_wallet,,US,1
1653,153,1614,JCB,credit,2028-10-01,US,1
1654,154,1615,PayPal,digital_wallet,,US,1
1655,155,1615,PayPal,digital_wallet,,US,1
1656,156,1616,Visa,credit,2027-10-01,US,1
1657,157,1616,Visa,credit,2029-05-01,US,1
1658,158,1617,Visa,credit,2028-04-01,US,1
1659,159,1618,Mastercard,credit,2029-10-01,US,1
1660,160,1619,Visa,credit,2028-05-01,US,1
1661,161,1620,Debit Card,debit,2030-11-01,US,1
1662,162,1621,Visa,credit,2028-07-01,US,1
1663,163,1621,American Express,credit,2029-01-01,US,1
1664,164,1622,Visa,credit,2030-02-01,US,1
1665,165,1623,Mastercard,credit,2028-02-01,US,1
1666,166,1624,Visa,credit,2029-07-01,US,1
1667,167,1624,American Express,credit,2030-08-01,US,1
1668,168,1625,JCB,credit,2027-09-01,US,1
1669,169,1625,Debit Card,debit,2029-07-01,US,1
1670,170,1626,Mastercard,credit,2029-08-01,US,1
1671,171,1626,American Express,credit,2030-02-01,US,1
1672,172,1627,PayPal,digital_wallet,,US,1
1673,173,1628,PayPal,digital_wallet,,US,1
1674,174,1629,Mastercard,credit,2028-02-01,US,1
1675,175,1630,American Express,credit,2028-01-01,US,1
1676,176,1631,Debit Card,debit,2029-11-01,US,1
1677,177,1632,Visa,credit,2029-08-01,US,1
1678,178,1633,PayPal,digital_wallet,,US,1
1679,179,1633,Mastercard,credit,2029-08-01,US,1
1680,180,1634,Visa,credit,2029-09-01,US,1
1681,181,1635,Mastercard,credit,2028-08-01,US,1
1682,182,1636,Discover,credit,2029-07-01,US,1
1683,183,1637,Visa,credit,2029-08-01,US,1
1684,184,1638,Visa,credit,2028-08-01,US,1
1685,185,1639,Visa,credit,2031-03-01,US,0
1686,186,1639,American Express,credit,2029-10-01,US,1
1687,187,1640,Visa,credit,2028-02-01,US,1
1688,188,1641,Mastercard,credit,2029-12-01,US,1
1689,189,1641,PayPal,digital_wallet,,US,1
1690,190,1642,Visa,credit,2028-05-01,US,1
1691,191,1643,Visa,credit,2030-02-01,US,1
1692,192,1644,Visa,credit,2030-06-01,US,1
1693,193,1644,Visa,credit,2028-07-01,US,1
1694,194,1645,JCB,credit,2030-04-01,US,0
1695,195,1645,Visa,credit,2029-09-01,US,1
1696,196,1646,Visa,credit,2030-02-01,US,1
1697,197,1646,Mastercard,credit,2031-03-01,US,1
1698,198,1647,Mastercard,credit,2029-02-01,US,1
1699,199,1648,Visa,credit,2028-07-01,US,1
1700,200,1649,Visa,credit,2028-06-01,US,1
1701,201,1650,Mastercard,credit,2028-07-01,US,1
1702,202,1651,PayPal,digital_wallet,,US,1
1703,203,1651,Mastercard,credit,2029-04-01,US,1
1704,204,1652,Mastercard,credit,2029-09-01,US,1
1705,205,1652,Mastercard,credit,2029-08-01,US,1
1706,206,1653,Visa,credit,2030-02-01,US,1
1707,207,1653,Mastercard,credit,2029-05-01,US,1
1708,208,1654,Visa,credit,2030-10-01,US,1
1709,209,1655,Mastercard,credit,2029-01-01,US,1
1710,210,1656,PayPal,digital_wallet,,US,1
1711,211,1656,Mastercard,credit,2032-01-01,US,1
1712,212,1657,American Express,credit,2029-12-01,US,0
1713,213,1657,PayPal,digital_wallet,,US,1
1714,214,1658,Visa,credit,2028-06-01,US,1
1715,215,1659,Debit Card,debit,2028-04-01,US,0
1716,216,1660,American Express,credit,2029-10-01,US,1
1717,217,1661,Visa,credit,2029-02-01,US,1
1718,218,1662,PayPal,digital_wallet,,US,1
1719,219,1663,JCB,credit,2030-01-01,US,1
1720,220,1664,Visa,credit,2029-10-01,US,1
1721,221,1665,Visa,credit,2029-04-01,US,1
1722,222,1665,Visa,credit,2028-06-01,US,1
1723,223,1666,Mastercard,credit,2027-10-01,US,1
1724,224,1667,Debit Card,debit,2028-11-01,US,1
1725,225,1668,Visa,credit,2030-03-01,US,1
1726,226,1669,Visa,credit,2029-07-01,US,1
1727,227,1670,Debit Card,debit,2028-02-01,US,1
1728,228,1670,Mastercard,credit,2029-07-01,US,1
1729,229,1670,PayPal,digital_wallet,,US,1
1730,230,1671,Visa,credit,2029-09-01,US,0
1731,231,1672,Mastercard,credit,2028-06-01,US,1
1732,232,1673,PayPal,digital_wallet,,US,1
1733,233,1674,Visa,credit,2029-06-01,US,1
1734,234,1675,Visa,credit,2029-05-01,US,1
1735,235,1675,Visa,credit,2028-03-01,US,1
1736,236,1676,Mastercard,credit,2029-09-01,US,1
1737,237,1677,Mastercard,credit,2029-11-01,US,1
1738,238,1678,Visa,credit,2030-05-01,US,1
1739,239,1678,American Express,credit,2030-05-01,US,1
1740,240,1678,Mastercard,credit,2027-12-01,US,1
1741,241,1679,American Express,credit,2028-05-01,US,1
1742,242,1680,Mastercard,credit,2029-11-01,US,1
1743,243,1681,Mastercard,credit,2029-11-01,US,1
1744,244,1681,Visa,credit,2029-11-01,US,1
1745,245,1682,Visa,credit,2032-05-01,US,1
1746,246,1682,Debit Card,debit,2029-11-01,US,0
1747,247,1683,Debit Card,debit,2030-06-01,US,1
1748,248,1684,Visa,credit,2030-04-01,US,0
1749,249,1685,Mastercard,credit,2029-12-01,US,1
1750,250,1685,PayPal,digital_wallet,,US,1
1751,251,1686,Visa,credit,2029-01-01,US,1
1752,252,1687,American Express,credit,2030-02-01,US,1
1753,253,1688,Visa,credit,2028-07-01,US,1
1754,254,1689,Visa,credit,2029-02-01,US,1
1755,255,1689,Visa,credit,2028-11-01,US,1
1756,256,1690,Visa,credit,2029-05-01,US,1
1757,257,1691,Debit Card,debit,2031-08-01,US,1
1758,258,1692,Visa,credit,2027-06-01,US,1
1759,259,1693,Visa,credit,2030-01-01,US,1
1760,260,1693,Mastercard,credit,2027-09-01,US,1
1761,261,1693,Visa,credit,2028-11-01,US,1
1762,262,1694,Visa,credit,2030-06-01,US,0
1763,263,1695,Discover,credit,2029-05-01,US,1
1764,264,1696,PayPal,digital_wallet,,US,1
1765,265,1697,Visa,credit,2028-04-01,US,1
1766,266,1697,Debit Card,debit,2028-08-01,US,1
1767,267,1698,Mastercard,credit,2030-01-01,US,1
1768,268,1699,PayPal,digital_wallet,,US,1
1769,269,1699,American Express,credit,2028-08-01,US,1
1770,270,1700,Visa,credit,2029-07-01,US,1
1771,271,1701,Visa,credit,2029-05-01,US,1
1772,272,1702,Visa,credit,2028-09-01,US,1
1773,273,1703,American Express,credit,2031-06-01,US,1
1774,274,1703,JCB,credit,2029-12-01,US,1
1775,275,1704,Visa,credit,2027-04-01,US,1
1776,276,1705,Debit Card,debit,2029-07-01,US,0
1777,277,1705,American Express,credit,2028-09-01,US,1
1778,278,1706,Visa,credit,2030-03-01,US,1
1779,279,1707,PayPal,digital_wallet,,US,1
1780,280,1708,American Express,credit,2028-07-01,US,1
1781,281,1709,Visa,credit,2029-03-01,US,1
1782,282,1710,Visa,credit,2029-11-01,US,1
1783,283,1711,Mastercard,credit,2030-03-01,US,1
1784,284,1712,Discover,credit,2028-02-01,US,1
1785,285,1713,Visa,credit,2028-12-01,US,1
1786,286,1713,JCB,credit,2028-11-01,US,1
1787,287,1714,Debit Card,debit,2028-09-01,US,1
1788,288,1714,Mastercard,credit,2031-02-01,US,1
1789,289,1715,Mastercard,credit,2029-09-01,US,1
1790,290,1716,PayPal,digital_wallet,,US,1
1791,291,1717,Discover,credit,2028-01-01,US,1
1792,292,1718,JCB,credit,2030-04-01,US,1
1793,293,1719,Mastercard,credit,2031-06-01,US,1
1794,294,1720,Discover,credit,2030-05-01,US,1
1795,295,1721,Visa,credit,2027-10-01,US,1
1796,296,1721,Visa,credit,2028-11-01,US,1
1797,297,1722,Visa,credit,2030-08-01,US,0
1798,298,1723,American Express,credit,2028-08-01,US,1
1799,299,1724,Visa,credit,2029-10-01,US,1
1800,300,1725,Visa,credit,2030-02-01,US,1
1801,301,1726,PayPal,digital_wallet,,US,1
1802,302,1727,American Express,credit,2028-05-01,US,1
1803,303,1728,Mastercard,credit,2029-04-01,US,1
1804,304,1729,Visa,credit,2026-06-01,US,1
1805,305,1729,Mastercard,credit,2028-04-01,US,1
1806,306,1730,Visa,credit,2029-01-01,US,1
1807,307,1730,Visa,credit,2028-02-01,US,1
1808,308,1731,Mastercard,credit,2030-12-01,US,1
1809,309,1732,Visa,credit,2027-11-01,US,1
1810,310,1733,Debit Card,debit,2028-11-01,US,1
1811,311,1733,Debit Card,debit,2029-06-01,US,1
1812,312,1734,Mastercard,credit,2030-10-01,US,1
1813,313,1735,Visa,credit,2027-11-01,US,1
1814,314,1736,Visa,credit,2030-06-01,US,1
1815,315,1737,PayPal,digital_wallet,,US,1
1816,316,1738,Mastercard,credit,2029-05-01,US,1
1817,317,1738,Mastercard,credit,2028-05-01,US,1
1818,318,1739,JCB,credit,2029-10-01,US,1
1819,319,1739,Mastercard,credit,2029-07-01,US,1
1820,320,1740,American Express,credit,2028-09-01,US,1
1821,321,1741,PayPal,digital_wallet,,US,1
1822,322,1742,American Express,credit,2029-05-01,US,1
1823,323,1743,PayPal,digital_wallet,,US,1
1824,324,1744,Visa,credit,2028-12-01,US,1
1825,325,1745,Visa,credit,2029-06-01,US,1
1826,326,1746,Visa,credit,2029-12-01,US,1
1827,327,1747,Visa,credit,2030-12-01,US,1
1828,328,1748,PayPal,digital_wallet,,US,1
1829,329,1749,Mastercard,credit,2028-02-01,US,1
1830,330,1749,Visa,credit,2031-06-01,US,1
1831,331,1750,PayPal,digital_wallet,,US,1
1832,332,1751,Mastercard,credit,2027-05-01,US,1
1833,333,1752,Visa,credit,2029-03-01,US,1
1834,334,1753,Mastercard,credit,2029-12-01,US,1
1835,335,1754,Mastercard,credit,2029-08-01,US,1
1836,336,1755,PayPal,digital_wallet,,US,1
1837,337,1755,PayPal,digital_wallet,,US,1
1838,338,1756,Visa,credit,2028-09-01,US,1
1839,339,1757,Visa,credit,2029-02-01,US,1
1840,340,1758,American Express,credit,2028-11-01,US,1
1841,341,1758,PayPal,digital_wallet,,US,1
1842,342,1759,Mastercard,credit,2028-09-01,US,1
1843,343,1760,Mastercard,credit,2030-03-01,US,1
1844,344,1761,JCB,credit,2029-09-01,US,1
1845,345,1762,American Express,credit,2028-08-01,US,1
1846,346,1763,Visa,credit,2030-03-01,US,1
1847,347,1763,Visa,credit,2029-08-01,US,1
1848,348,1764,American Express,credit,2030-02-01,US,1
1849,349,1765,Mastercard,credit,2029-12-01,US,1
1850,350,1766,Mastercard,credit,2028-07-01,US,1
1851,351,1766,Visa,credit,2028-10-01,US,1
1852,352,1767,PayPal,digital_wallet,,US,1
1853,353,1768,JCB,credit,2030-01-01,US,1
1854,354,1769,Mastercard,credit,2029-12-01,US,1
1855,355,1770,Visa,credit,2029-04-01,US,1
1856,356,1771,American Express,credit,2029-06-01,US,1
1857,357,1772,Mastercard,credit,2030-08-01,US,1
1858,358,1773,Visa,credit,2028-09-01,US,1
1859,359,1773,Mastercard,credit,2029-11-01,US,1
1860,360,1774,PayPal,digital_wallet,,US,1
1861,361,1774,Visa,credit,2029-02-01,US,1
1862,362,1775,Visa,credit,2029-02-01,US,1
1863,363,1776,American Express,credit,2030-06-01,US,1
1864,364,1776,Visa,credit,2030-02-01,US,1
1865,365,1777,Mastercard,credit,2030-02-01,US,1
1866,366,1777,Debit Card,debit,2030-08-01,US,1
1867,367,1777,Visa,credit,2029-05-01,US,1
1868,368,1778,Visa,credit,2030-01-01,US,1
1869,369,1779,Visa,credit,2029-01-01,US,1
1870,370,1780,Visa,credit,2029-08-01,US,1
1871,371,1781,PayPal,digital_wallet,,US,1
1872,372,1782,PayPal,digital_wallet,,US,1
1873,373,1783,Mastercard,credit,2029-03-01,US,1
1874,374,1784,American Express,credit,2029-06-01,US,1
1875,375,1785,Visa,credit,2029-12-01,US,1
1876,376,1786,Visa,credit,2028-07-01,US,1
1877,377,1786,Discover,credit,2031-06-01,US,1
1878,378,1787,Visa,credit,2028-04-01,US,1
1879,379,1787,Debit Card,debit,2028-02-01,US,1
1880,380,1788,Visa,credit,2030-06-01,US,1
1881,381,1789,Visa,credit,2030-02-01,US,0
1882,382,1790,PayPal,digital_wallet,,US,1
1883,383,1791,Visa,credit,2029-12-01,US,1
1884,384,1791,American Express,credit,2029-12-01,US,1
1885,385,1792,PayPal,digital_wallet,,US,1
1886,386,1793,Mastercard,credit,2029-04-01,US,1
1887,387,1794,Mastercard,credit,2028-06-01,US,1
1888,388,1795,Visa,credit,2029-05-01,US,1
1889,389,1795,Mastercard,credit,2028-08-01,US,1
1890,390,1796,American Express,credit,2030-04-01,US,1
1891,391,1797,Visa,credit,2029-03-01,US,1
1892,392,1797,Visa,credit,2028-07-01,US,1
1893,393,1798,JCB,credit,2029-01-01,US,1
1894,394,1798,Mastercard,credit,2029-09-01,US,1
1895,395,1799,Visa,credit,2028-10-01,US,1
1896,396,1800,Mastercard,credit,2028-07-01,US,1
1897,397,1800,Visa,credit,2029-07-01,US,1
1898,398,1801,PayPal,digital_wallet,,US,1
1899,399,1802,Visa,credit,2029-07-01,US,1
1900,400,1803,Visa,credit,2028-10-01,US,1
1901,401,1804,Visa,credit,2028-11-01,US,1
1902,402,1805,Mastercard,credit,2029-07-01,US,1
1903,403,1806,Mastercard,credit,2027-11-01,US,1
1904,404,1806,Mastercard,credit,2027-12-01,US,1
1905,405,1807,Visa,credit,2028-08-01,US,1
1906,406,1808,Mastercard,credit,2029-02-01,US,1
1907,407,1809,Mastercard,credit,2029-08-01,US,1
1908,408,1810,Mastercard,credit,2030-10-01,US,1
1909,409,1811,American Express,credit,2030-03-01,US,1
1910,410,1812,Visa,credit,2029-03-01,US,1
1911,411,1813,Visa,credit,2029-04-01,US,1
1912,412,1814,Discover,credit,2028-04-01,US,1
1913,413,1815,Visa,credit,2029-04-01,US,1
1914,414,1815,Visa,credit,2029-01-01,US,1
1915,415,1816,Visa,credit,2029-08-01,US,0
1916,416,1817,Visa,credit,2028-07-01,US,1
1917,417,1818,Visa,credit,2029-11-01,US,1
1918,418,1818,American Express,credit,2030-11-01,US,1
1919,419,1819,Debit Card,debit,2029-03-01,US,1
1920,420,1819,Visa,credit,2029-09-01,US,1
1921,421,1820,Visa,credit,2030-01-01,US,1
1922,422,1820,Visa,credit,2028-12-01,US,1
1923,423,1821,Visa,credit,2029-07-01,US,1
1924,424,1822,Mastercard,credit,2029-05-01,US,1
1925,425,1823,Debit Card,debit,2029-06-01,US,1
1926,426,1824,Mastercard,credit,2028-07-01,US,1
1927,427,1825,Visa,credit,2029-05-01,US,0
1928,428,1826,Mastercard,credit,2029-10-01,US,1
1929,429,1827,American Express,credit,2030-10-01,US,1
1930,430,1828,Visa,credit,2030-04-01,US,1
1931,431,1828,JCB,credit,2031-06-01,US,1
1932,432,1829,Visa,credit,2028-07-01,US,1
1933,433,1830,Visa,credit,2030-03-01,US,1
1934,434,1831,Mastercard,credit,2029-07-01,US,1
1935,435,1832,Mastercard,credit,2031-07-01,US,1
1936,436,1833,Visa,credit,2028-07-01,US,1
1937,437,1833,Mastercard,credit,2028-06-01,US,0
1938,438,1833,American Express,credit,2028-09-01,US,1
1939,439,1834,Mastercard,credit,2027-03-01,US,1
1940,440,1834,Debit Card,debit,2028-10-01,US,1
1941,441,1835,Visa,credit,2028-07-01,US,1
1942,442,1836,Mastercard,credit,2029-06-01,US,1
1943,443,1837,American Express,credit,2029-09-01,US,1
1944,444,1838,Visa,credit,2031-03-01,US,1
1945,445,1839,American Express,credit,2030-04-01,US,1
1946,446,1839,Visa,credit,2028-10-01,US,1
1947,447,1840,Visa,credit,2028-06-01,US,1
1948,448,1841,Mastercard,credit,2029-10-01,US,1
1949,449,1842,Visa,credit,2028-01-01,US,1
1950,450,1843,Visa,credit,2031-02-01,US,1
1951,451,1843,Visa,credit,2030-07-01,US,1
1952,452,1844,Mastercard,credit,2028-11-01,US,1
1953,453,1845,Visa,credit,2027-08-01,US,1
1954,454,1846,American Express,credit,2030-09-01,US,1
1955,455,1847,American Express,credit,2029-03-01,US,1
1956,456,1847,PayPal,digital_wallet,,US,1
1957,457,1848,Mastercard,credit,2030-07-01,US,1
1958,458,1849,Mastercard,credit,2027-09-01,US,1
1959,459,1850,PayPal,digital_wallet,,US,1
1960,460,1850,Visa,credit,2028-09-01,US,1
1961,461,1851,Mastercard,credit,2029-05-01,US,1
1962,462,1852,Visa,credit,2029-05-01,US,1
1963,463,1853,Discover,credit,2028-11-01,US,1
1964,464,1853,Mastercard,credit,2029-12-01,US,1
1965,465,1854,Visa,credit,2028-04-01,US,1
1966,466,1855,JCB,credit,2029-03-01,US,1
1967,467,1856,Visa,credit,2029-06-01,US,1
1968,468,1856,PayPal,digital_wallet,,US,1
1969,469,1857,Visa,credit,2029-11-01,US,1
1970,470,1858,Visa,credit,2030-01-01,US,1
1971,471,1859,Visa,credit,2028-03-01,US,1
1972,472,1859,Visa,credit,2027-10-01,US,1
1973,473,1860,Visa,credit,2030-08-01,US,1
1974,474,1861,PayPal,digital_wallet,,US,1
1975,475,1861,Visa,credit,2029-08-01,US,1
1976,476,1862,Visa,credit,2028-08-01,US,1
1977,477,1863,PayPal,digital_wallet,,US,1
1978,478,1864,Discover,credit,2030-11-01,US,1
1979,479,1865,Visa,credit,2029-06-01,US,1
1980,480,1866,Visa,credit,2030-07-01,US,1
1981,481,1867,Visa,credit,2029-05-01,US,1
1982,482,1868,Visa,credit,2031-05-01,US,1
1983,483,1869,Visa,credit,2031-02-01,US,1
1984,484,1870,Mastercard,credit,2029-02-01,US,1
1985,485,1871,American Express,credit,2030-04-01,US,1
1986,486,1872,Mastercard,credit,2029-12-01,US,1
1987,487,1873,PayPal,digital_wallet,,US,1
1988,488,1873,Visa,credit,2030-09-01,US,1
1989,489,1874,Discover,credit,2028-05-01,US,1
1990,490,1875,Visa,credit,2030-01-01,US,1
1991,491,1876,Visa,credit,2030-05-01,US,1
1992,492,1877,Mastercard,credit,2027-07-01,US,1
1993,493,1878,American Express,credit,2028-02-01,US,1
1994,494,1879,Visa,credit,2027-04-01,US,1
1995,495,1879,Mastercard,credit,2029-01-01,US,1
1996,496,1880,Visa,credit,2030-01-01,US,1
1997,497,1881,Debit Card,debit,2030-11-01,US,1
1998,498,1882,Visa,credit,2029-05-01,US,1
1999,499,1883,Visa,credit,2030-12-01,US,1
2000,500,1883,PayPal,digital_wallet,,US,1
2001,501,1884,Mastercard,credit,2027-12-01,US,1
2002,502,1885,Mastercard,credit,2027-08-01,US,1
2003,503,1886,American Express,credit,2029-04-01,US,1
2004,504,1886,JCB,credit,2029-09-01,US,1
2005,505,1887,Visa,credit,2029-04-01,US,1
2006,506,1888,Visa,credit,2027-04-01,US,1
2007,507,1888,Mastercard,credit,2029-03-01,US,1
2008,508,1889,Mastercard,credit,2028-01-01,US,1
2009,509,1890,PayPal,digital_wallet,,US,1
2010,510,1891,American Express,credit,2030-01-01,US,0
2011,511,1892,Visa,credit,2029-09-01,US,1
2012,512,1892,Visa,credit,2028-05-01,US,1
2013,513,1893,Debit Card,debit,2028-10-01,US,1
2014,514,1894,PayPal,digital_wallet,,US,1
2015,515,1895,Visa,credit,2028-04-01,US,1
2016,516,1895,American Express,credit,2029-04-01,US,0
2017,517,1896,Mastercard,credit,2030-04-01,US,1
2018,518,1897,Mastercard,credit,2028-05-01,US,1
2019,519,1898,Mastercard,credit,2029-11-01,US,1
2020,520,1899,Mastercard,credit,2028-10-01,US,1
2021,521,1900,Visa,credit,2028-07-01,US,1
2022,522,1901,Visa,credit,2029-03-01,US,1
2023,523,1901,Mastercard,credit,2028-04-01,US,1
2024,524,1902,Debit Card,debit,2028-10-01,US,1
